,dataset,n_cols,has_sex_or_gender_column,cols
0,openadmet/pxr-challenge-train-test,18,False,"['Molecule Name', 'SMILES', 'OCNT Batch', 'pEC50', 'Emax_estimate (log2FC vs. baseline)', 'Emax.vs.pos.ctrl_estimate (dimensionless)', 'pEC50_std.error (-log10(molarity))', 'Emax_std.error (log2FC vs. baseline)', 'Emax.vs.pos.ctrl_std.error (dimensionless)', 'pEC50_ci.lower (-log10(molarity))', 'pEC50_ci.upper (-log10(molarity))', 'Emax_ci.lower (log2FC vs. baseline)', 'Emax_ci.upper (log2FC vs. baseline)', 'Emax.vs.pos.ctrl_ci.lower (dimensionless)', 'Emax.vs.pos.ctrl_ci.upper (dimensionless)', 'Split', 'OCNT_ID', 'source']"
1,maharshipandya/spotify-tracks-dataset,21,False,"['Unnamed: 0', 'track_id', 'artists', 'album_name', 'track_name', 'popularity', 'duration_ms', 'explicit', 'danceability', 'energy', 'key', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature', 'track_genre']"
2,tarekmasryo/football-matches-2025-dataset,23,False,"['competition_code', 'competition_name', 'season', 'match_id', 'matchday', 'stage', 'status', 'date_utc', 'referee', 'home_team_id', 'home_team', 'away_team_id', 'away_team', 'fulltime_home', 'fulltime_away', 'halftime_home', 'halftime_away', 'goal_difference', 'total_goals', 'match_outcome', 'home_points', 'away_points', 'referee_id']"
3,electricsheepafrica/pollen-allergic-disease,36,True,"['record_id', 'scenario', 'year', 'month', 'in_pollen_season', 'setting', 'age', 'sex', 'is_child', 'temp_c', 'rainfall_mm', 'pollen_count', 'dominant_allergen', 'urbanization_index', 'air_pollution_index', 'family_history', 'sensitized', 'allergic_rhinitis', 'asthma', 'eczema', 'conjunctivitis', 'food_allergy', 'any_allergic_condition', 'asthma_severity', 'sneezing', 'nasal_congestion', 'wheeze', 'itchy_eyes', 'skin_rash', 'symptom_score', 'treatment_available', 'antihistamine_use', 'inhaler_use', 'er_visit', 'school_work_days_lost', 'quality_of_life']"
4,scikit-learn/auto-mpg,9,False,"['mpg', 'cylinders', 'displacement', 'horsepower', 'weight', 'acceleration', 'model year', 'origin', 'car name']"
5,wwydmanski/blog-feedback,281,False,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127', '128', '129', '130', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159', '160', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175', '176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191', '192', '193', '194', '195', '196', '197', '198', '199', '200', '201', '202', '203', '204', '205', '206', '207', '208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223', '224', '225', '226', '227', '228', '229', '230', '231', '232', '233', '234', '235', '236', '237', '238', '239', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '250', '251', '252', '253', '254', '255', '256', '257', '258', '259', '260', '261', '262', '263', '264', '265', '266', '267', '268', '269', '270', '271', '272', '273', '274', '275', '276', '277', '278', '279', 'target']"
6,gauss314/bitcoin_daily,4,False,"['date', 'price', 'market_caps', 'total_volumes']"
7,Einstellung/demo-salaries,11,False,"['work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'salary_in_usd', 'employee_residence', 'remote_ratio', 'company_location', 'company_size']"
8,gauss314/options-IV-SP500,26,False,"['Unnamed: 0', 'symbol', 'date', 'strikes_spread', 'calls_contracts_traded', 'puts_contracts_traded', 'calls_open_interest', 'puts_open_interest', 'expirations_number', 'DITM_IV', 'ITM_IV', 'sITM_IV', 'ATM_IV', 'sOTM_IV', 'OTM_IV', 'DOTM_IV', 'contracts_number', 'hv_20', 'hv_40', 'hv_60', 'hv_75', 'hv_90', 'hv_120', 'hv_180', 'hv_200', 'VIX']"
9,gauss314/arg-equity,45,False,"['index', 'ALUA_t0', 'ALUA_t-1', 'BBAR_t0', 'BBAR_t-1', 'BMA_t0', 'BMA_t-1', 'BYMA_t0', 'BYMA_t-1', 'CEPU_t0', 'CEPU_t-1', 'COME_t0', 'COME_t-1', 'CRES_t0', 'CRES_t-1', 'CVH_t0', 'CVH_t-1', 'EDN_t0', 'EDN_t-1', 'GGAL_t0', 'GGAL_t-1', 'HARG_t0', 'HARG_t-1', 'LOMA_t0', 'LOMA_t-1', 'MIRG_t0', 'MIRG_t-1', 'PAMP_t0', 'PAMP_t-1', 'SUPV_t0', 'SUPV_t-1', 'TECO2_t0', 'TECO2_t-1', 'TGNO4_t0', 'TGNO4_t-1', 'TGSU2_t0', 'TGSU2_t-1', 'TRAN_t0', 'TRAN_t-1', 'TXAR_t0', 'TXAR_t-1', 'VALO_t0', 'VALO_t-1', 'YPFD_t0', 'YPFD_t-1']"
