subset,category,test_fold,model,mse,mae
Perch,all,1,featureless,183527.5682564878,337.3338624338624
Perch,all,1,linear,29113.035050144626,159.4556731969194
Perch,all,1,linear_BasExp,4359.505442748364,47.41519612462804
Perch,same,1,featureless,165210.890625,387.125
Perch,same,1,linear,21274.15184738811,138.51612273551822
Perch,same,1,linear_BasExp,155.18647743003515,10.86957414209913
Perch,other,1,featureless,189909.31901157022,330.0915151515151
Perch,other,1,linear,103657.61857413693,217.07853802060458
Perch,other,1,linear_BasExp,39762.604754743545,133.76175540281267
Perch,all,2,featureless,100833.85195556638,313.1734375
Perch,all,2,linear,15952.079204077068,93.14432835080157
Perch,all,2,linear_BasExp,63.49901488759025,6.567839086771613
Perch,same,2,featureless,296219.2160493827,541.7222222222222
Perch,same,2,linear,101708.89532829625,271.4598954819278
Perch,same,2,linear_BasExp,4093.1987596468152,59.07864906254426
Perch,other,2,featureless,78807.84992066115,275.77454545454543
Perch,other,2,linear,6410.641655592773,73.26962370936711
Perch,other,2,linear_BasExp,2332.1444060252766,42.39588690526129
Perch,all,3,featureless,105030.00234619142,270.0
Perch,all,3,linear,18649.529527260667,136.55827991379093
Perch,all,3,linear_BasExp,1702.8786260353688,35.29536879225168
Perch,same,3,featureless,74654.67901234567,270.0
Perch,same,3,linear,648191.7299137214,801.2131797188147
Perch,same,3,linear_BasExp,12773.105196198158,100.32184311473821
Perch,other,3,featureless,113593.15901157026,270.0
Perch,other,3,linear,138754.7136022492,295.87996925381833
Perch,other,3,linear_BasExp,10412.596637244282,83.92932939731458
Perch,all,4,featureless,397737.77676025394,622.6859375
Perch,all,4,linear,49516.2691725535,204.62089552974828
Perch,all,4,linear_BasExp,14093.968844806888,105.25663657606162
Perch,same,4,featureless,331993.1975308642,567.4444444444445
Perch,same,4,linear,6647.6629897566,67.96268699121356
Perch,same,4,linear_BasExp,4646.482124166695,61.17838969420194
Perch,other,4,featureless,409077.04992066114,631.7254545454546
Perch,other,4,linear,189811.25908974095,429.0094378364478
Perch,other,4,linear_BasExp,96456.59900398049,303.06197329384463
Perch,all,5,featureless,48409.56533447266,195.0
Perch,all,5,linear,7240.775361621728,62.91757207542494
Perch,all,5,linear_BasExp,563.5884257512544,23.554662934726906
Perch,same,5,featureless,40502.827160493835,195.0
Perch,same,5,linear,7599.841068819102,76.4192410192062
Perch,same,5,linear_BasExp,54.54202488472314,6.652741107502891
Perch,other,5,featureless,54084.34082975207,195.0
Perch,other,5,linear,45193.72635941307,189.3524651604883
Perch,other,5,linear_BasExp,14754.94954156521,106.22642879764791
Bream,all,1,featureless,188463.19818846052,414.3158730158729
Bream,all,1,linear,11457.595028428486,105.35172498272159
Bream,all,1,linear_BasExp,29137.197239964134,159.33171511440045
Bream,same,1,featureless,26788.895833333332,99.91666666666667
Bream,same,1,linear,59495.23203029289,232.52495178397126
Bream,same,1,linear_BasExp,16803.34129432076,129.05851302891472
Bream,other,1,featureless,228448.49106666658,460.04666666666657
Bream,other,1,linear,74441.89922883663,272.7041235615183
Bream,other,1,linear_BasExp,33559.8240663141,106.9188910210501
Bream,all,2,featureless,26559.33584228516,155.0
Bream,all,2,linear,9902.547073102156,70.4221594647002
Bream,all,2,linear_BasExp,1827.7612263805415,40.39702359042428
Bream,same,2,featureless,136175.56790123458,334.8888888888889
Bream,same,2,linear,76097.37964085888,232.12224961720347
Bream,same,2,linear_BasExp,27898.34835222278,136.6818707936505
Bream,other,2,featureless,36880.02439999997,155.0
Bream,other,2,linear,19427.411550934623,113.50746567243166
Bream,other,2,linear_BasExp,6067.866929253259,77.01468455084307
Bream,all,3,featureless,67064.55068603517,256.5921875
Bream,all,3,linear,1719.609125557514,34.91293519044456
Bream,all,3,linear_BasExp,2739.7831253665163,44.92236024403189
Bream,same,3,featureless,9405.1975308642,90.44444444444446
Bream,same,3,linear,24453.352075444855,113.66486804418037
Bream,same,3,linear_BasExp,3177.919391093168,55.80409445697029
Bream,other,3,featureless,99432.02439999992,313.3799999999999
Bream,other,3,linear,25950.41978838799,159.32181607573392
Bream,other,3,linear_BasExp,24237.19518146596,152.79706960344913
Bream,all,4,featureless,359885.8924829102,599.4828125
Bream,all,4,linear,36167.07863061951,188.2859568817571
Bream,all,4,linear_BasExp,5726.552715117123,71.17962398617618
Bream,same,4,featureless,100327.14197530865,315.94444444444446
Bream,same,4,linear,125699.82422823393,323.96543324004307
Bream,same,4,linear_BasExp,20495.058335819638,140.26169074176858
Bream,other,4,featureless,417667.22439999983,645.8799999999999
Bream,other,4,linear,137120.23739912437,369.0495008558984
Bream,other,4,linear_BasExp,21633.89186924893,146.05600550961913
Bream,all,5,featureless,98051.15752197267,312.7953125
Bream,all,5,linear,2013.4214669717467,44.613999225238786
Bream,all,5,linear_BasExp,2130.969063855938,39.35434110898825
Bream,same,5,featureless,778.2777777777795,23.83333333333337
Bream,same,5,linear,4015.7269292182036,62.764676291213846
Bream,same,5,linear_BasExp,2152.849267157998,35.99518756202809
Bream,other,5,featureless,135545.94439999992,367.8799999999999
Bream,other,5,linear,43210.280261167114,205.05452450888615
Bream,other,5,linear_BasExp,24702.967854382627,149.1911156170645
Parkki,all,1,featureless,63275.822224741736,239.39841269841267
Parkki,all,1,linear,6087.556426340754,71.88115561148147
Parkki,all,1,linear_BasExp,39.34697401609435,5.81094850876832
Parkki,same,1,featureless,6276.333333333333,64.33333333333333
Parkki,same,1,linear,263.9954081670184,13.17479481601986
Parkki,same,1,linear_BasExp,254.0515940339517,15.713262270242874
Parkki,other,1,featureless,82576.75857079889,276.78969696969693
Parkki,other,1,linear,12061.50413849206,105.6414382356681
Parkki,other,1,linear_BasExp,173.10346070468097,13.027243545589917
Parkki,all,2,featureless,47654.353420410145,217.78281249999998
Parkki,all,2,linear,7338.704745566891,84.05868874760996
Parkki,all,2,linear_BasExp,131.15615030023406,10.063118527211572
Parkki,same,2,featureless,1585.7901234567898,36.888888888888886
Parkki,same,2,linear,207.5598384924359,11.785994728874215
Parkki,same,2,linear_BasExp,108.20290199863011,10.33305298298194
Parkki,other,2,featureless,67542.60463140495,259.4563636363636
Parkki,other,2,linear,15791.578639629242,124.39732174969492
Parkki,other,2,linear_BasExp,286.5632366622644,13.740066271528121
Parkki,all,3,featureless,74098.6058618164,271.9234375
Parkki,all,3,linear,6091.428641063993,73.32717302784386
Parkki,all,3,linear_BasExp,265.5482604353165,11.76779755004047
Parkki,same,3,featureless,900.3271604938268,27.27777777777777
Parkki,same,3,linear,2.589937760024157,1.4655681588821352
Parkki,same,3,linear_BasExp,138.30288522939964,11.406433174952753
Parkki,other,3,featureless,97473.02281322313,311.9563636363636
Parkki,other,3,linear,14804.722501296288,117.74062696141628
Parkki,other,3,linear_BasExp,536.9572394145721,20.11189019670553
Parkki,all,4,featureless,36788.833889160145,176.53281249999998
Parkki,all,4,linear,6303.277116590763,77.11470437720538
Parkki,all,4,linear_BasExp,14.464154673722808,3.719609914915722
Parkki,same,4,featureless,12982.827160493825,85.77777777777777
Parkki,same,4,linear,315.6465567079707,17.088753667985912
Parkki,same,4,linear_BasExp,180.94868807465534,11.816733427877551
Parkki,other,4,featureless,53786.095540495866,219.45636363636362
Parkki,other,4,linear,13987.440097020204,116.47901835836154
Parkki,other,4,linear_BasExp,79.28103463568448,8.489254890228096
Parkki,all,5,featureless,121993.81826416015,349.2671875
Parkki,all,5,linear,641.6534851122573,25.213593484836338
Parkki,all,5,linear_BasExp,168.82341266063054,12.413504755524002
Parkki,same,5,featureless,14154.030864197533,118.94444444444446
Parkki,same,5,linear,536.5016054684554,22.815183611716634
Parkki,same,5,linear_BasExp,482.1913203433466,21.67207477849893
Parkki,other,5,featureless,149741.47735867766,386.9563636363636
Parkki,other,5,linear,526.9004338187195,22.951493521752468
Parkki,other,5,linear_BasExp,433.8956426733164,20.40669875779156
Roach,all,1,featureless,65175.95344167296,254.06507936507933
Roach,all,1,linear,10933.852212054071,102.87916014096277
Roach,all,1,linear_BasExp,231.36084534391384,14.564292052969734
Roach,same,1,featureless,2855.515625,47.208333333333336
Roach,same,1,linear,9553.486566935337,95.3545660772237
Roach,same,1,linear_BasExp,47.100442177704196,5.637002979807273
Roach,other,1,featureless,81370.00573333334,284.15333333333336
Roach,other,1,linear,42456.04432907752,205.0675386393441
Roach,other,1,linear_BasExp,72.44748685621636,6.853355650709166
Roach,all,2,featureless,110931.89541259763,331.2203125
Roach,all,2,linear,5722.8748596140795,70.9470034938808
Roach,all,2,linear_BasExp,1236.1352227972511,30.69993418285651
Roach,same,2,featureless,20299.67901234568,138.11111111111111
Roach,same,2,linear,3087.560553453685,45.27905893728473
Roach,same,2,linear_BasExp,3300.66628691695,49.80950290676242
Roach,other,2,featureless,132863.3524,362.82
Roach,other,2,linear,15383.189340402485,108.82104525635452
Roach,other,2,linear_BasExp,13.826890997321158,3.278398533484335
Roach,all,3,featureless,41493.2476586914,193.54843749999998
Roach,all,3,linear,13997.628729289701,113.7006339050331
Roach,all,3,linear_BasExp,113.89032279607889,10.541436328055198
Roach,same,3,featureless,4660.030864197531,63.5
Roach,same,3,linear,1686.92007663928,34.69268728939964
Roach,same,3,linear_BasExp,198.02293696402091,10.307184781875549
Roach,other,3,featureless,56619.9124,229.32
Roach,other,3,linear,54174.51975388302,220.76917973462935
Roach,other,3,linear_BasExp,432.5142045583522,17.974383806829593
Roach,all,4,featureless,5856.934963378903,57.93906249999998
Roach,all,4,linear,15879.855932991573,123.38908569639659
Roach,all,4,linear_BasExp,734.471477305455,21.279503010342722
Roach,same,4,featureless,37013.38271604938,185.77777777777777
Roach,same,4,linear,5193.092817777622,69.73561359867549
Roach,same,4,linear_BasExp,1069.2285595491514,32.27715328525201
Roach,other,4,featureless,12068.752399999998,97.82
Roach,other,4,linear,50969.65270131533,223.40066154724306
Roach,other,4,linear_BasExp,1343.2297761655445,32.7358571561532
Roach,all,5,featureless,50101.825588378895,222.93906249999998
Roach,all,5,linear,5884.367105559819,76.70919024539582
Roach,all,5,linear_BasExp,539.4011043495301,21.977938049112566
Roach,same,5,featureless,495.60493827160485,20.0
Roach,same,5,linear,659.1702613394441,25.421790789636432
Roach,same,5,linear_BasExp,569.7930258462486,21.410790450148895
Roach,other,5,featureless,66871.15239999999,257.82
Roach,other,5,linear,46268.45224450104,213.673459017458
Roach,other,5,linear_BasExp,59.59039558094647,6.845118895166166
Smelt,all,1,featureless,164586.63802721095,405.6904761904762
Smelt,all,1,linear,45879.40836781584,214.00559567465112
Smelt,all,1,linear_BasExp,53.68837687923364,6.248020466610497
Smelt,same,1,featureless,7.417656249999997,2.354166666666666
Smelt,same,1,linear,0.6921630568730185,0.7258026691425942
Smelt,same,1,linear_BasExp,0.24282302609043405,0.4910083085572528
Smelt,other,1,featureless,215629.83371900828,464.3575757575757
Smelt,other,1,linear,162694.88747668508,403.22269697861594
Smelt,other,1,linear_BasExp,2715.9778984349414,51.8322161534546
Smelt,all,2,featureless,160088.5116235352,400.1078125
Smelt,all,2,linear,43151.33081497744,206.58003489234113
Smelt,all,2,linear_BasExp,355.895890468293,18.472144851476532
Smelt,same,2,featureless,11.183456790123465,2.9888888888888903
Smelt,same,2,linear,7.5784524464250405,2.6209208660893633
Smelt,same,2,linear_BasExp,4.083154565108352,1.5944270092128012
Smelt,other,2,featureless,216311.80371900828,465.0909090909091
Smelt,other,2,linear,164849.82828061425,404.95212542869126
Smelt,other,2,linear_BasExp,3840.1396017734933,61.54722351012545
Smelt,all,3,featureless,159180.16383056642,398.97343750000005
Smelt,all,3,linear,38291.314454304695,195.674068326037
Smelt,all,3,linear_BasExp,10.410256155362543,2.918704918473572
Smelt,same,3,featureless,3.0641975308641998,1.6444444444444448
Smelt,same,3,linear,0.06463033748860883,0.2538658975716688
Smelt,same,3,linear_BasExp,0.4843571002211533,0.6840457108276734
Smelt,other,3,featureless,215287.92371900828,463.9909090909091
