subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
ok,other,1,tree,False,0,582,306,2.1634791401678117,2.273004594142227
ok,all,1,featureless,False,0,1802,306,0.7753346005387304,0.8357457959618158
ok,all,1,linear,False,0,1802,306,0.7317738947581055,0.5527643846384429
ok,all,1,linear_BasExp,False,0,1802,306,0.7208579747473943,0.5182224467190639
ok,all,1,tree,False,0,1802,306,0.7081965760153944,0.4144279690613534
ok,same,2,featureless,False,0,1221,305,0.32168893405900434,0.1533063328956319
ok,same,2,linear,False,0,1221,305,0.2838681153745968,0.12391792907135124
ok,same,2,linear_BasExp,False,0,1221,305,0.2784274237304026,0.10628443815841371
ok,same,2,tree,False,0,1221,305,0.2747585225613366,0.04374315557431774
ok,other,2,featureless,False,0,582,305,2.1696921868123638,2.271698806530695
ok,other,2,linear,False,0,582,305,2.1696921868123638,2.271698806530695
ok,other,2,linear_BasExp,False,0,582,305,2.1696921868123638,2.271698806530695
ok,other,2,tree,False,0,582,305,2.1696921868123726,2.2716988065307038
ok,all,2,featureless,False,0,1803,305,0.7785800109394354,0.835666074512401
ok,all,2,linear,False,0,1803,305,0.7863392447950267,0.6130045693801788
ok,all,2,linear_BasExp,False,0,1803,305,0.7682587960529887,0.6434758544362024
ok,all,2,tree,False,0,1803,305,0.7632167404760564,0.8077638364160009
ok,same,3,featureless,False,0,1221,305,0.40518443945632543,0.14713808689175445
ok,same,3,linear,False,0,1221,305,0.3632978756942486,0.11281466639392812
ok,same,3,linear_BasExp,False,0,1221,305,0.3474179989083709,0.1018247949813531
ok,same,3,tree,False,0,1221,305,0.3477563897398493,0.0387229584989871
ok,other,3,featureless,False,0,582,305,2.160243844966954,2.2721412321493135
ok,other,3,linear,False,0,582,305,2.160243844966954,2.2721412321493135
ok,other,3,linear_BasExp,False,0,582,305,2.160243844966954,2.2721412321493135
ok,other,3,tree,False,0,582,305,2.160243844966963,2.2721412321493224
ok,all,3,featureless,False,0,1803,305,0.7927967613271688,0.8328013036053397
ok,all,3,linear,False,0,1803,305,0.752856285412419,0.6403657949796261
ok,all,3,linear_BasExp,False,0,1803,305,0.7575334699116829,0.6477246031737688
ok,all,3,tree,False,0,1803,305,0.775067741668583,0.7162270962705166
ok,same,4,featureless,False,0,1221,305,0.3794860811493298,0.14495733079707218
ok,same,4,linear,False,0,1221,305,0.34669912419486754,0.1156131453169732
ok,same,4,linear_BasExp,False,0,1221,305,0.334197243339595,0.09801812357096062
ok,same,4,tree,False,0,1221,305,0.33959158333617995,0.03638340869548151
ok,other,4,featureless,False,0,582,305,2.146743317956042,2.270725470169734
ok,other,4,linear,False,0,582,305,2.146743317956042,2.270725470169734
ok,other,4,linear_BasExp,False,0,582,305,2.146743317956042,2.270725470169734
ok,other,4,tree,False,0,582,305,2.146743317956051,2.270725470169743
ok,all,4,featureless,False,0,1803,305,0.7707335521251981,0.829233228803253
ok,all,4,linear,False,0,1803,305,0.7176532574766992,0.5587443433323718
ok,all,4,linear_BasExp,False,0,1803,305,0.7190884667188923,0.5824860856437039
ok,all,4,tree,False,0,1803,305,0.760865470464293,0.7820534999575
ok,same,5,featureless,False,0,1221,305,0.3812497646848617,0.14465982739161998
ok,same,5,linear,False,0,1221,305,0.3675072582732845,0.11793639386780813
ok,same,5,linear_BasExp,False,0,1221,305,0.35507692768700205,0.11460585664424383
