subset,category,test_fold,model,mse,mae
idastar.symmulgt.transmul,other,2,featureless,2200440.8230593298,1372.0863255522538
idastar.symmulgt.transmul,other,2,linear,1772230.919298866,1167.1870513307467
idastar.symmulgt.transmul,other,2,linear_BasExp,1673551.5324345846,1058.2362700871727
idastar.symmulgt.transmul,all,3,featureless,2208052.8362190425,1357.865565580201
idastar.symmulgt.transmul,all,3,linear,1652215.2871015735,1126.6848686049475
idastar.symmulgt.transmul,all,3,linear_BasExp,1651448.3375367182,1064.8667256776564
idastar.symmulgt.transmul,same,3,featureless,2194090.8957211375,1243.3460460392687
idastar.symmulgt.transmul,same,3,linear,1544608.039843106,935.9108417457738
idastar.symmulgt.transmul,same,3,linear_BasExp,1441963.13471535,865.1546537036089
idastar.symmulgt.transmul,other,3,featureless,2238223.7496706005,1389.5546335050149
idastar.symmulgt.transmul,other,3,linear,1787191.995679791,1179.8376089768415
idastar.symmulgt.transmul,other,3,linear_BasExp,1831309.5555872447,1126.0846197396593
idastar.symmulgt.transmul,all,4,featureless,2172107.3479801123,1339.8980094382234
idastar.symmulgt.transmul,all,4,linear,1768998.5321819799,1143.19008240602
idastar.symmulgt.transmul,all,4,linear_BasExp,1641304.70029557,1051.1807281239735
idastar.symmulgt.transmul,same,4,featureless,2143907.7986941235,1230.0341714511396
idastar.symmulgt.transmul,same,4,linear,1395633.8753065104,904.6971518410863
idastar.symmulgt.transmul,same,4,linear_BasExp,1436902.9733236176,850.8355110525358
idastar.symmulgt.transmul,other,4,featureless,2205237.0348971803,1374.0236016987437
idastar.symmulgt.transmul,other,4,linear,1955708.323433158,1217.9997312716268
idastar.symmulgt.transmul,other,4,linear_BasExp,1823511.964388807,1124.7420505687694
idastar.symmulgt.transmul,all,5,featureless,1798908.8937174357,1228.996959774624
idastar.symmulgt.transmul,all,5,linear,1692761.5570426204,1128.5842458191635
idastar.symmulgt.transmul,all,5,linear_BasExp,1523678.1638534355,1029.3401433929503
idastar.symmulgt.transmul,same,5,featureless,1623269.722002597,1103.789426088919
idastar.symmulgt.transmul,same,5,linear,1441459.6548565861,905.0011946719309
idastar.symmulgt.transmul,same,5,linear_BasExp,1323516.6492436335,838.7116750146864
idastar.symmulgt.transmul,other,5,featureless,1861246.3549916295,1263.4719154423058
idastar.symmulgt.transmul,other,5,linear,1843147.9109163051,1196.8808541269193
idastar.symmulgt.transmul,other,5,linear_BasExp,1695824.7027905502,1103.3570191426684
astar.symmullt.transmul,all,1,featureless,2700551.634852572,1518.6437505513356
astar.symmullt.transmul,all,1,linear,2202761.34990687,1282.3374892710078
astar.symmullt.transmul,all,1,linear_BasExp,2449005.5413850984,1278.9738161116252
astar.symmullt.transmul,same,1,featureless,2768814.882973067,1612.4443497064492
astar.symmullt.transmul,same,1,linear,2099637.5920193335,1303.6129955559497
astar.symmullt.transmul,same,1,linear_BasExp,2478632.978307049,1330.3423069996454
astar.symmullt.transmul,other,1,featureless,2708095.7506888513,1493.6658553936484
astar.symmullt.transmul,other,1,linear,2330783.619622637,1283.7081195528315
astar.symmullt.transmul,other,1,linear_BasExp,2585859.7065315754,1291.9941344899803
astar.symmullt.transmul,all,2,featureless,2769171.7413169662,1526.0244853354195
astar.symmullt.transmul,all,2,linear,2254181.2137143617,1301.518944187901
astar.symmullt.transmul,all,2,linear_BasExp,2177352.5470065856,1208.917466442785
astar.symmullt.transmul,same,2,featureless,2792122.578320874,1612.6166282212164
astar.symmullt.transmul,same,2,linear,2019436.9616998748,1229.0968193637325
astar.symmullt.transmul,same,2,linear_BasExp,1948799.6693196725,1173.3104853984346
astar.symmullt.transmul,other,2,featureless,2786279.746836897,1503.6110374315274
astar.symmullt.transmul,other,2,linear,2419147.1543352525,1320.718454639701
astar.symmullt.transmul,other,2,linear_BasExp,2346575.1144100595,1231.5016517721567
astar.symmullt.transmul,all,3,featureless,3104224.516909838,1622.8316790290753
astar.symmullt.transmul,all,3,linear,2204744.1350801615,1293.8213205690467
astar.symmullt.transmul,all,3,linear_BasExp,2004237.535284745,1183.5136535242495
astar.symmullt.transmul,same,3,featureless,2993200.174572479,1656.708388445046
astar.symmullt.transmul,same,3,linear,2130904.76552507,1253.292240446364
astar.symmullt.transmul,same,3,linear_BasExp,2196448.5996369673,1199.1674893976283
astar.symmullt.transmul,other,3,featureless,3148664.249272319,1613.789318894009
astar.symmullt.transmul,other,3,linear,2333037.381646911,1310.8115347723035
astar.symmullt.transmul,other,3,linear_BasExp,2160102.7326458343,1198.8973708384744
astar.symmullt.transmul,all,4,featureless,3070598.7191516566,1591.2212753964288
astar.symmullt.transmul,all,4,linear,2637639.8497433774,1414.3660312581874
astar.symmullt.transmul,all,4,linear_BasExp,2757232.6890614554,1367.9468414071562
astar.symmullt.transmul,same,4,featureless,2956603.9856681903,1627.7070090498762
astar.symmullt.transmul,same,4,linear,2286447.207845715,1306.0573697824193
astar.symmullt.transmul,same,4,linear_BasExp,2165845.720854709,1223.5381892210435
astar.symmullt.transmul,other,4,featureless,3115611.2229131954,1582.2463760368662
astar.symmullt.transmul,other,4,linear,2849656.35350711,1441.3486518322986
astar.symmullt.transmul,other,4,linear_BasExp,3012073.4207604555,1405.5736385822215
astar.symmullt.transmul,all,5,featureless,3032692.516333354,1588.4683021515348
astar.symmullt.transmul,all,5,linear,2815366.706440835,1439.623732233247
astar.symmullt.transmul,all,5,linear_BasExp,2796702.1864079954,1373.7494396015059
astar.symmullt.transmul,same,5,featureless,2938248.6009265212,1636.1017566237872
astar.symmullt.transmul,same,5,linear,2867384.642573077,1437.35640123221
astar.symmullt.transmul,same,5,linear_BasExp,2673066.509952254,1357.626790110108
astar.symmullt.transmul,other,5,featureless,3073892.4964213213,1575.7539961507184
astar.symmullt.transmul,other,5,linear,2912101.4342851746,1447.8267885676246
astar.symmullt.transmul,other,5,linear_BasExp,2917151.1940547796,1383.1514805519373
