subset,category,test_fold,model,mse,mae
M,same,5,gam,1.316848615430373,0.33678735487155687
M,other,5,featureless,1.4348431549176266,0.35092596512269003
M,other,5,linear,1.3521888851526889,0.2995645530820763
M,other,5,gam,1.324338409460566,0.2917319681510898
S,all,1,featureless,0.5674839108463986,0.30826948993141945
S,all,1,linear,0.4964729387104733,0.25210165421453845
S,all,1,gam,0.48194100543260227,0.24084103720167094
S,same,1,featureless,0.5636088180057816,0.2609723745345493
S,same,1,linear,0.4935568138808235,0.21877880664855884
S,same,1,gam,0.4801988907171422,0.21245046035991597
S,other,1,featureless,0.5750944097067563,0.34532679598269794
S,other,1,linear,0.5012481203292122,0.2785551429389761
S,other,1,gam,0.4857186176680959,0.26381548970850077
S,all,2,featureless,0.5426482298327471,0.3043939823094255
S,all,2,linear,0.48912434175078956,0.247824719202713
S,all,2,gam,0.47548409636089756,0.23687539270499763
S,same,2,featureless,0.5385218103298777,0.2579110521825612
S,same,2,linear,0.48684596303360905,0.2151451620246128
S,same,2,gam,0.4733728532959062,0.20934767612956265
S,other,2,featureless,0.5504069641629397,0.341087622473578
S,other,2,linear,0.4934439554728932,0.27455946079347376
S,other,2,gam,0.4791887203095644,0.2597794489999992
S,all,3,featureless,1.058277227329315,0.3253274960055198
S,all,3,linear,0.969395138666463,0.266203662804087
S,all,3,gam,0.9598108270905468,0.25548393710107836
S,same,3,featureless,1.056994491992909,0.27611913601427535
S,same,3,linear,0.9701144589425276,0.2312016579039277
S,same,3,gam,0.9617626863178317,0.2258775177732944
S,other,3,featureless,1.0643461686718731,0.36394189175734853
S,other,3,linear,0.972391176264727,0.2937143866674191
S,other,3,gam,0.9616627601358901,0.2795172049551428
S,all,4,featureless,0.667608750228778,0.30911040111980187
S,all,4,linear,0.6235915662392206,0.2580729891173268
S,all,4,gam,0.6077016137484953,0.24772401963506233
S,same,4,featureless,0.6636720142030899,0.2617235162841761
S,same,4,linear,0.624076404185285,0.2245114658168172
S,same,4,gam,0.6059431451372436,0.21883920291324957
S,other,4,featureless,0.6752556289679091,0.34636022632296964
S,other,4,linear,0.6267054128805404,0.2851430022808796
S,other,4,gam,0.6112369362698059,0.27137591297003477
S,all,5,featureless,0.7036573258801957,0.3078674635133504
S,all,5,linear,0.6387703183161636,0.25373780035871635
S,all,5,gam,0.63029519743125,0.24390177042456393
S,same,5,featureless,0.69949622104662,0.26047718307654666
S,same,5,linear,0.6358333215100007,0.22059859947390062
S,same,5,gam,0.6288115801634175,0.2156072003145068
S,other,5,featureless,0.7114366459901906,0.3450663146154729
S,other,5,linear,0.6435090878480255,0.28033957356227096
S,other,5,gam,0.6336158872011474,0.266835631282001
U,all,1,featureless,1.4867861152322963,0.4052299040344114
U,all,1,linear,1.404809347968469,0.41891016850460755
U,all,1,gam,1.4064909011330593,0.4300849729089877
U,same,1,featureless,1.4777125391205996,0.4835090897571923
U,same,1,linear,1.4007237826254706,0.4416608405826255
U,same,1,gam,1.4011110630695782,0.44000344111524137
U,other,1,featureless,1.488797147252331,0.39871152352620115
U,other,1,linear,1.4056912717165422,0.4182827840574096
U,other,1,gam,1.408004530952983,0.43176551599884805
U,all,2,featureless,1.1479737255289988,0.39490234460832874
U,all,2,linear,1.121048523110999,0.4139517404781175
U,all,2,gam,1.085401306150049,0.41717265882980975
U,same,2,featureless,1.142033805355463,0.47651750198744847
U,same,2,linear,1.1165936665074205,0.43685751195639716
U,same,2,gam,1.0806834020231544,0.4296192830083483
