subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
F,all,4,tree,True,1,18262,4565,0.8422211732244701,0.4740575090002853
F,all,4,tree,True,1,77172,4565,0.8382236971485081,0.4733191535066297
F,other,5,featureless,True,1,18262,4565,1.0728802438930525,0.6412978184730332
F,other,5,linear,True,1,18262,4565,0.9621930562188514,0.5217332961201433
F,other,5,linear_BasExp,True,1,18262,4565,0.9144835283024497,0.4955498539334233
F,other,5,tree,True,1,18262,4565,0.8476405087221525,0.4592203533553121
F,all,5,featureless,True,1,18262,4565,1.068757241889852,0.6479879197831985
F,all,5,featureless,True,1,77172,4565,1.0676151931063191,0.6492858849236885
F,all,5,linear,True,1,18262,4565,0.9577865077755962,0.5312748271697886
F,all,5,linear,True,1,77172,4565,0.9548658198371316,0.5316585417580364
F,all,5,linear_BasExp,True,1,18262,4565,0.9081593418423943,0.49536624063037016
F,all,5,linear_BasExp,True,1,77172,4565,0.9090298760321335,0.4983494122131633
F,all,5,tree,True,1,18262,4565,0.845147648599916,0.46206508496514864
F,all,5,tree,True,1,77172,4565,0.8418849948627781,0.4555093793278997
M,same,1,featureless,True,1,22828,15435,0.9743305682001977,0.6204610639969728
M,same,1,linear,True,1,22828,15435,0.8294556196582841,0.4825369483747571
M,same,1,linear_BasExp,True,1,22828,15435,0.7889878432647429,0.44553403428786065
M,same,1,tree,True,1,22828,15435,0.7382141762640364,0.40554879363234475
M,all,1,featureless,True,1,61737,15435,0.9751602734491319,0.6398791450888143
M,all,1,featureless,True,1,22828,15435,0.9756041816629879,0.6426011103509806
M,all,1,linear,True,1,61737,15435,0.8302743176376673,0.4943594731398616
M,all,1,linear,True,1,22828,15435,0.8306658679159081,0.49762574671738885
M,all,1,linear_BasExp,True,1,61737,15435,0.7892904794224462,0.4590013666135099
M,all,1,linear_BasExp,True,1,22828,15435,0.790117247346509,0.4607753325685887
M,all,1,tree,True,1,61737,15435,0.7341866748005608,0.40885670329929935
M,all,1,tree,True,1,22828,15435,0.7406577243030859,0.41509622867629226
M,same,2,featureless,True,1,22828,15435,0.980309755945828,0.6309111745877478
M,same,2,linear,True,1,22828,15435,0.8290964218868094,0.47932764741371925
M,same,2,linear_BasExp,True,1,22828,15435,0.7907345530624018,0.4496935186374678
M,same,2,tree,True,1,22828,15435,0.7376193695951936,0.4020401329325789
M,all,2,featureless,True,1,61737,15435,0.9811779552172936,0.6486564007724919
M,all,2,featureless,True,1,22828,15435,0.9810702053110018,0.647760216598778
M,all,2,linear,True,1,61737,15435,0.8302919344456271,0.4974550522181988
M,all,2,linear,True,1,22828,15435,0.8306015822883783,0.49739948280828017
M,all,2,linear_BasExp,True,1,61737,15435,0.789470765631943,0.46027780289081954
M,all,2,linear_BasExp,True,1,22828,15435,0.7886835217840952,0.4605438684337227
M,all,2,tree,True,1,61737,15435,0.7346559291799859,0.40338384875498123
M,all,2,tree,True,1,22828,15435,0.7389452630019543,0.4081874248614064
M,same,3,featureless,True,1,22828,15434,0.970280804580896,0.6187229096968705
M,same,3,linear,True,1,22828,15434,0.8471080969437115,0.47562181745256205
M,same,3,linear_BasExp,True,1,22828,15434,0.7997328575517066,0.4487974231904962
M,same,3,tree,True,1,22828,15434,0.7416115142475801,0.40603011368281994
M,all,3,featureless,True,1,61737,15434,0.9724138570089391,0.6433687269755026
M,all,3,featureless,True,1,22828,15434,0.9727096590285854,0.6437956927433387
M,all,3,linear,True,1,61737,15434,0.8481144881653824,0.49508809646752994
M,all,3,linear,True,1,22828,15434,0.8497264836267457,0.49291244721592564
M,all,3,linear_BasExp,True,1,61737,15434,0.7968034339022243,0.46174323162791353
M,all,3,linear_BasExp,True,1,22828,15434,0.7955060062609585,0.4617505772996946
M,all,3,tree,True,1,61737,15434,0.7394376126009485,0.40080639839337534
M,all,3,tree,True,1,22828,15434,0.7437803224194798,0.409556196331373
M,same,4,featureless,True,1,22828,15434,0.9617239773343554,0.6176872477626609
M,same,4,linear,True,1,22828,15434,0.8231485370754845,0.47671859612291767
M,same,4,linear_BasExp,True,1,22828,15434,0.7838499130683287,0.44869457175780947
M,same,4,tree,True,1,22828,15434,0.7346422952113507,0.4041187769888002
M,all,4,featureless,True,1,61737,15434,0.9638147934509329,0.6388204452565321
M,all,4,featureless,True,1,22828,15434,0.9635154834088273,0.6369043798376673
M,all,4,linear,True,1,61737,15434,0.8254067110442134,0.49359958790060837
M,all,4,linear,True,1,22828,15434,0.8255516449925018,0.4863686119473831
M,all,4,linear_BasExp,True,1,61737,15434,0.7836224621519284,0.4565089265822349
M,all,4,linear_BasExp,True,1,22828,15434,0.7861930938098133,0.45783139223142494
M,all,4,tree,True,1,61737,15434,0.7290049738497961,0.40191614281135546
M,all,4,tree,True,1,22828,15434,0.7347188452241793,0.405416029025786
M,same,5,featureless,True,1,22828,15434,0.9838663731291551,0.6226961232093766
M,same,5,linear,True,1,22828,15434,0.838349951058307,0.48676155731088533
M,same,5,linear_BasExp,True,1,22828,15434,0.7994513115889152,0.44541089909366527
M,same,5,tree,True,1,22828,15434,0.7516330400067013,0.4080290674327574
M,all,5,featureless,True,1,61737,15434,0.9852770721616416,0.6429095907682993
M,all,5,featureless,True,1,22828,15434,0.9854047135078894,0.6432222099905063
