subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
A,same,1,featureless,False,0,900,100,0.4788331937121107,0.4282259304943558,0.00011730194091796875
A,same,1,linear,False,0,900,100,0.12468143950121093,0.10150596824090188,0.031354665756225586
A,same,1,tree,False,0,900,100,0.03944284022722663,0.0281802986252547,1.8455023765563965
A,other,1,featureless,False,0,500,100,0.47741325440842924,0.41678930278246346,5.817413330078125e-05
A,other,1,linear,False,0,500,100,0.16002651906656185,0.09877328746153528,0.0339503288269043
A,other,1,tree,False,0,500,100,0.3533394736367565,0.1412474692182577,0.04231572151184082
A,all,1,featureless,False,0,1400,100,0.4782919232387875,0.4239357130659993,0.00018835067749023438
A,all,1,linear,False,0,1400,100,0.12317961771762466,0.0948642963483333,0.04984092712402344
A,all,1,tree,False,0,1400,100,0.1430064135735732,0.07268708715066471,0.0531926155090332
A,same,2,featureless,False,0,900,100,0.4364186677537137,0.3657623859539906,5.5789947509765625e-05
A,same,2,linear,False,0,900,100,0.12105085068559429,0.10269883398018137,0.030799150466918945
A,same,2,tree,False,0,900,100,0.040599448629667446,0.03057683319570393,0.03771018981933594
A,other,2,featureless,False,0,500,100,0.4356878232863288,0.3615592772359735,5.841255187988281e-05
A,other,2,linear,False,0,500,100,0.15742891121422625,0.10432740183221817,0.03097844123840332
A,other,2,tree,False,0,500,100,0.2613656109834349,0.13720028036184156,0.03971099853515625
A,all,2,featureless,False,0,1400,100,0.4361336909639682,0.36234482299793885,5.698204040527344e-05
A,all,2,linear,False,0,1400,100,0.12131839420358724,0.10084730977102457,0.029944181442260742
A,all,2,tree,False,0,1400,100,0.15046871053939231,0.08778985945848584,0.04699563980102539
A,same,3,featureless,False,0,900,100,0.4757524543978943,0.3879628500313556,6.103515625e-05
A,same,3,linear,False,0,900,100,0.14123165647411715,0.09836222542764023,0.0332186222076416
A,same,3,tree,False,0,900,100,0.04477518111556825,0.029611239235006998,0.04888725280761719
A,other,3,featureless,False,0,500,100,0.4755528958370108,0.3864622743487549,5.459785461425781e-05
A,other,3,linear,False,0,500,100,0.17276716702210237,0.10570143675292201,0.03078603744506836
A,other,3,tree,False,0,500,100,0.2086618638113144,0.10891659893689407,0.04793524742126465
A,all,3,featureless,False,0,1400,100,0.47566793608164804,0.3864622743487549,6.008148193359375e-05
A,all,3,linear,False,0,1400,100,0.14005960807516935,0.1012416818679929,0.0325922966003418
A,all,3,tree,False,0,1400,100,0.14015362242480656,0.07526501812737996,0.049346208572387695
A,same,4,featureless,False,0,900,100,0.5047031820289093,0.4329775933237521,5.7220458984375e-05
A,same,4,linear,False,0,900,100,0.12192724099855053,0.09723970797504368,0.02953934669494629
A,same,4,tree,False,0,900,100,0.038534888274879844,0.02245601443456441,0.03744173049926758
A,other,4,featureless,False,0,500,100,0.5032510230976558,0.43345328377653214,5.4836273193359375e-05
A,other,4,linear,False,0,500,100,0.18089054604779772,0.1205309127999602,0.027976512908935547
A,other,4,tree,False,0,500,100,0.2693008737967165,0.16915104734603137,0.03645205497741699
A,all,4,featureless,False,0,1400,100,0.5041761279954201,0.43345328377653214,6.580352783203125e-05
A,all,4,linear,False,0,1400,100,0.12558602038180583,0.1032941706906082,0.028192758560180664
A,all,4,tree,False,0,1400,100,0.19276892754789224,0.13236944987330998,0.03780651092529297
A,same,5,featureless,False,0,900,100,0.45483330778871184,0.3692171036492398,0.00012421607971191406
