subset,category,test_fold,model,mse,mae
0_0,same,1,featureless,0.02641264713688355,0.10697089498097714
0_0,same,1,cv_gam,0.02690114357736936,0.10119532977423677
0_0,other,1,featureless,0.07497568691780737,0.2562665046687174
0_0,other,1,cv_gam,0.025592751171369922,0.09008191177790763
0_0,all,1,featureless,0.07380388218128273,0.25377516568824676
0_0,all,1,cv_gam,0.02546206540884244,0.09052402216810436
0_0,same,2,featureless,0.027215699582463497,0.11887729619466075
0_0,same,2,cv_gam,0.024835819729732245,0.11164491959206124
0_0,other,2,featureless,0.06335161138730043,0.2321591776742789
0_0,other,2,cv_gam,0.028612975060875054,0.10833600117681716
0_0,all,2,featureless,0.062311700049031166,0.2300000028062768
0_0,all,2,cv_gam,0.028338415288162763,0.10826566385701411
0_0,same,3,featureless,0.04642418916011127,0.12242694265154463
0_0,same,3,cv_gam,0.04629205555952386,0.12461189844907808
0_0,other,3,featureless,0.05167437679904563,0.19384767593637012
0_0,other,3,cv_gam,0.055130667642495385,0.13939239412281423
0_0,all,3,featureless,0.05097053525049737,0.19173800223840282
0_0,all,3,cv_gam,0.05472311375771367,0.13846879528942008
0_0,same,4,featureless,0.018261015063736938,0.10340805684970587
0_0,same,4,cv_gam,0.018261015063736938,0.10340805684970587
0_0,other,4,featureless,0.07106988094126916,0.2544259144299041
0_0,other,4,cv_gam,0.016832553573304244,0.08290244730460855
0_0,all,4,featureless,0.0698485878214764,0.2520389404514294
0_0,all,4,cv_gam,0.016861852664943142,0.08442566725720951
0_0,same,5,featureless,0.030718466847037693,0.11467165374369996
0_0,same,5,cv_gam,0.02940671690222212,0.11329518419434312
0_0,other,5,featureless,0.06877626445115592,0.24516625231346503
0_0,other,5,cv_gam,0.03225268881815479,0.10193469984125965
0_0,all,5,featureless,0.06771219018745757,0.24294669975290067
0_0,all,5,cv_gam,0.03186164009411358,0.10143683566089336
0_1,same,1,featureless,0.018405714049968092,0.12449649024416996
0_1,same,1,cv_gam,0.015930788494462732,0.11063897537546212
0_1,other,1,featureless,0.07088458101768015,0.2563278522037497
0_1,other,1,cv_gam,0.012471122679256848,0.09937963722441327
0_1,all,1,featureless,0.07021624809143302,0.2550760347806865
0_1,all,1,cv_gam,0.012515877128868851,0.09969191254242264
0_1,same,2,featureless,0.020666425144111947,0.09825307903965938
0_1,same,2,cv_gam,0.022917025969631574,0.10682917779830475
0_1,other,2,featureless,0.04087426688884891,0.18340089518080277
0_1,other,2,cv_gam,0.020112134610426033,0.1001765838376451
0_1,all,2,featureless,0.04042147876113834,0.18232482331691457
0_1,all,2,cv_gam,0.02008392854938223,0.09996699891081785
0_1,same,3,featureless,0.07045930195570306,0.164040623720672
0_1,same,3,cv_gam,0.06405510124972087,0.14664182393954217
0_1,other,3,featureless,0.05921185010479624,0.20441037006587576
0_1,other,3,cv_gam,0.05689029178329315,0.14257085722619892
0_1,all,3,featureless,0.0588790026030841,0.2031934100439859
0_1,all,3,cv_gam,0.0568645751616935,0.14257461054349932
0_1,same,4,featureless,0.019574492587688702,0.10529921302065526
0_1,same,4,cv_gam,0.02291135154141935,0.11901567387946929
0_1,other,4,featureless,0.06134945128172659,0.2329337218998351
0_1,other,4,cv_gam,0.019001213514043477,0.09761967164599228
0_1,all,4,featureless,0.06075439170378523,0.23163852289555456
0_1,all,4,cv_gam,0.018954921715240526,0.09759775951388108
0_1,same,5,featureless,0.03397828324023307,0.12672505341937176
0_1,same,5,cv_gam,0.03056509093149589,0.11383074853621794
0_1,other,5,featureless,0.05283103141443776,0.2036376190513821
0_1,other,5,cv_gam,0.033016206892263436,0.11796580833866872
0_1,all,5,featureless,0.05238735171594206,0.20262586136179403
0_1,all,5,cv_gam,0.032984596908963486,0.11792199188170643
0_2,same,1,featureless,0.029384756936115926,0.13693585096511676
0_2,same,1,cv_gam,0.027163573610959946,0.12814345891496703
0_2,other,1,featureless,0.0600507926263557,0.22216526450168933
0_2,other,1,cv_gam,0.031238240569185352,0.13452993491940587
0_2,all,1,featureless,0.059660829142151844,0.22130684124414224
0_2,all,1,cv_gam,0.03120051454776298,0.1344608364189309
0_2,same,2,featureless,0.01456822704330995,0.08149932626721551
0_2,same,2,cv_gam,0.013640749749841006,0.08207070925917201
0_2,other,2,featureless,0.032097497116242046,0.15942312010143664
0_2,other,2,cv_gam,0.013141624573828206,0.08164427709189638
0_2,all,2,featureless,0.031787092818604416,0.15842365061167699
0_2,all,2,cv_gam,0.013113429715464447,0.08149540318745495
0_2,same,3,featureless,0.049707763337673995,0.14519770827352582
0_2,same,3,cv_gam,0.0442252151235658,0.13154390472988395
0_2,other,3,featureless,0.061893580946235774,0.21528316721217186
0_2,other,3,cv_gam,0.044908815670909555,0.13285148511943687
0_2,all,3,featureless,0.061616394930051416,0.21453019685721436
0_2,all,3,cv_gam,0.04488492357124813,0.1327320916448253
0_2,same,4,featureless,0.0388667747624682,0.1515523698368294
0_2,same,4,cv_gam,0.04329355145054972,0.16587328127888487
0_2,other,4,featureless,0.060540681923500705,0.22308457354538003
0_2,other,4,cv_gam,0.037086342368419796,0.14607074702465705
0_2,all,4,featureless,0.060204800469713854,0.2223748168597412
0_2,all,4,cv_gam,0.03710676169332203,0.14620928252195978
0_2,same,5,featureless,0.03673891341065098,0.13639749673353752
0_2,same,5,cv_gam,0.029542135418739318,0.11906679438772064
0_2,other,5,featureless,0.04661490453666649,0.17933027802355306
