subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
Bacterial nitrifier,same,2,tree,False,0,2339,585,0.0273445569807634,0.0109775987297608,8.552335500717163
"Iron, sulfur, hydrogen oxidizer",same,2,tree,False,0,314,79,0.0257418373100601,0.0155865862880475,1.1328654289245603
Archaeal nitrifier,same,2,tree,False,0,1110,278,0.0165659757851611,0.0093183496501296,1.7524144649505615
Methanogen or Acetogen,same,2,tree,False,0,24,6,0.0551605078336867,0.0253178034909069,0.1737270355224609
Methanotroph,same,3,featureless,False,0,488,122,0.026711587,0.023993962,0.0391619205474853
"Iron, sulfur, hydrogen oxidizer",same,3,featureless,False,0,314,79,0.02666676,0.015866285,0.0244812965393066
Bacterial nitrifier,same,3,featureless,False,0,2339,585,0.029177424,0.016524045,0.1661510467529297
Nitrogen Fixer,same,3,featureless,False,0,5117,1279,0.03369832,0.021467894,0.5200703144073486
Methanogen or Acetogen,same,3,featureless,False,0,24,6,0.035712667,0.016252756,0.002098798751831
Archaeal nitrifier,same,3,featureless,False,0,1110,278,0.018002782,0.008936157,0.0722146034240722
Heterotroph,same,3,featureless,False,0,141668,35417,0.034255624,0.019389667,7.782268524169922
Heterotroph,same,3,featureless,True,1,11741,35417,0.034256775,0.019302431,4.168290376663208
Heterotroph,same,3,featureless,True,2,11741,35417,0.034255862,0.01968275,4.166474342346191
Heterotroph,same,3,featureless,True,3,11741,35417,0.034255303,0.019618046,4.166452169418335
Bacterial nitrifier,same,3,linear,False,0,2339,585,0.0252395,0.010692274,19.9609158039093
Archaeal nitrifier,same,3,linear,False,0,1110,278,0.017560868,0.009336583,4.732581853866577
Methanogen or Acetogen,same,3,linear,False,0,24,6,0.03604719,0.018107623,0.0803906917572021
"Iron, sulfur, hydrogen oxidizer",same,3,linear,False,0,314,79,0.024469497,0.01535742,0.7040309906005859
Methanotroph,same,3,linear,False,0,488,122,0.02497502,0.019653065,1.293107986450195
Heterotroph,same,3,linear,False,0,141668,35417,0.03196358,0.016120087,21031.78358602524
Heterotroph,same,3,linear,True,1,11741,35417,0.03271406,0.016329523,2586.737849712372
Heterotroph,same,3,linear,True,2,11741,35417,0.032658212,0.016723454,2585.8713433742523
Heterotroph,same,3,linear,True,3,11741,35417,0.032862023,0.016555741,2585.4724817276
Nitrogen Fixer,same,3,linear,False,0,5117,1279,0.032528274,0.020047203,58.019142627716064
Heterotroph,same,3,tree,False,0,141668,35417,0.0333849352068446,0.017919854044549,2683.111531972885
Heterotroph,same,3,tree,True,1,11741,35417,0.0334009332426595,0.0173213325716943,195.8546028137207
Heterotroph,same,3,tree,True,2,11741,35417,0.0331964972087677,0.0172038226480145,202.1603720188141
Heterotroph,same,3,tree,True,3,11741,35417,0.0332747185049726,0.0163809950879009,197.04778909683228
"Iron, sulfur, hydrogen oxidizer",same,3,tree,False,0,314,79,0.0245671973744457,0.01536984101196,1.0679819583892822
Archaeal nitrifier,same,3,tree,False,0,1110,278,0.0175308655622569,0.0091372121460911,3.311361312866211
Nitrogen Fixer,same,3,tree,False,0,5117,1279,0.0330475489563746,0.0213020099842345,41.51552844047546
Bacterial nitrifier,same,3,tree,False,0,2339,585,0.0253864977543838,0.0103649223765291,12.579707384109495
Methanotroph,same,3,tree,False,0,488,122,0.0257856345303301,0.0195297190400232,1.6670475006103516
Methanogen or Acetogen,same,3,tree,False,0,24,6,0.0356825919295062,0.018760298979032,0.1555132865905761
Archaeal nitrifier,same,4,featureless,False,0,1111,277,0.016303066,0.009228481,0.12736177444458
Methanotroph,same,4,featureless,False,0,488,122,0.033973113,0.02028807,0.0604963302612304
Bacterial nitrifier,same,4,featureless,False,0,2339,585,0.031020027,0.016821556,0.2643685340881347
Methanogen or Acetogen,same,4,featureless,False,0,24,6,0.019987976,0.021528946,0.0021452903747558
"Iron, sulfur, hydrogen oxidizer",same,4,featureless,False,0,315,78,0.0435558,0.020805359,0.0382323265075683
Heterotroph,same,4,featureless,False,0,141668,35417,0.033857845,0.019437477,7.032710075378418
Heterotroph,same,4,featureless,True,1,11741,35417,0.033857923,0.019401226,3.9347524642944336
Heterotroph,same,4,featureless,True,2,11741,35417,0.03385842,0.019575689,3.934976577758789
Heterotroph,same,4,featureless,True,3,11741,35417,0.03385796,0.019508362,3.9323513507843018
Nitrogen Fixer,same,4,featureless,False,0,5117,1279,0.034338582,0.02204562,0.7713675498962402
Nitrogen Fixer,same,4,linear,False,0,5117,1279,0.03299545,0.019217817,56.85418725013733
Heterotroph,same,4,linear,False,0,141668,35417,0.03155065,0.016112495,20820.581085681915
Heterotroph,same,4,linear,True,1,11741,35417,0.032416064,0.016314274,2622.298828840256
Heterotroph,same,4,linear,True,2,11741,35417,0.03227001,0.016381837,2621.452612876892
Heterotroph,same,4,linear,True,3,11741,35417,0.032270003,0.016326971,2621.0579676628117
Methanogen or Acetogen,same,4,linear,False,0,24,6,0.01895985,0.017689794,0.1026909351348877
Bacterial nitrifier,same,4,linear,False,0,2339,585,0.027354881,0.011082919,19.26070809364319
Archaeal nitrifier,same,4,linear,False,0,1111,277,0.016208448,0.009261772,3.720893621444702
Methanotroph,same,4,tree,False,0,488,122,0.0315617111298969,0.0203713169321417,1.7303407192230225
"Iron, sulfur, hydrogen oxidizer",same,4,linear,False,0,315,78,0.037787274,0.019204946,0.694765567779541
Methanotroph,same,4,linear,False,0,488,122,0.03047387,0.019691177,1.3595945835113523
"Iron, sulfur, hydrogen oxidizer",same,4,tree,False,0,315,78,0.0370303689867748,0.015733094090814,0.7540569305419922
Nitrogen Fixer,same,4,tree,False,0,5117,1279,0.0336909055408801,0.0207580692441746,38.72519063949585
Heterotroph,same,4,tree,False,0,141668,35417,0.0330487742032692,0.0179564294210607,4392.218832731247
Heterotroph,same,4,tree,True,1,11741,35417,0.0329655371377063,0.0171377003731191,271.5016312599182
Heterotroph,same,4,tree,True,2,11741,35417,0.0332861823127873,0.0161986849270761,301.0513999462128
Heterotroph,same,4,tree,True,3,11741,35417,0.0328326832915677,0.0172890503431564,276.4173626899719
Archaeal nitrifier,same,4,tree,False,0,1111,277,0.0162803139277814,0.0092641509869182,2.0748298168182373
Bacterial nitrifier,same,4,tree,False,0,2339,585,0.0275570622962894,0.0107931204488978,10.960320949554443
Methanogen or Acetogen,same,4,tree,False,0,24,6,0.0189586969734844,0.0176997342479059,0.1653575897216797
"Iron, sulfur, hydrogen oxidizer",same,5,featureless,False,0,315,78,0.034705054,0.019276172,0.0435502529144287
Nitrogen Fixer,same,5,featureless,False,0,5117,1279,0.035304777,0.022862677,0.5259218215942383
Bacterial nitrifier,same,5,featureless,False,0,2340,584,0.037210688,0.01638195,0.2232208251953125
Archaeal nitrifier,same,5,featureless,False,0,1111,277,0.01573541,0.008635218,0.1103031635284423
Heterotroph,same,5,featureless,False,0,141668,35417,0.03410234,0.019531935,7.080914735794067
Heterotroph,same,5,featureless,True,1,11741,35417,0.03410213,0.019488856,3.97795844078064
Heterotroph,same,5,featureless,True,2,11741,35417,0.034104113,0.019690692,3.979812860488892
Heterotroph,same,5,featureless,True,3,11741,35417,0.034102216,0.019509641,3.981884241104126
Methanotroph,same,5,featureless,False,0,488,122,0.029094405,0.021257944,0.0842893123626709
Methanogen or Acetogen,same,5,featureless,False,0,24,6,0.022814305,0.023302339,0.0030791759490966
Heterotroph,same,5,linear,False,0,141668,35417,0.031843446,0.016081765,20942.030933618546
Heterotroph,same,5,linear,True,1,11741,35417,0.03264297,0.016452767,2625.5459809303284
Heterotroph,same,5,linear,True,2,11741,35417,0.032616567,0.01656136,2624.777108192444
Heterotroph,same,5,linear,True,3,11741,35417,0.032583326,0.016592383,2623.214530944824
Nitrogen Fixer,same,5,linear,False,0,5117,1279,0.033927135,0.018839348,58.23564696311951
Methanotroph,same,5,linear,False,0,488,122,0.026778862,0.016290195,1.3201851844787598
Bacterial nitrifier,same,5,linear,False,0,2340,584,0.0334432,0.010490879,18.44504189491272
Methanogen or Acetogen,same,5,linear,False,0,24,6,0.021316921,0.02444614,0.106072187423706
Archaeal nitrifier,same,5,linear,False,0,1111,277,0.015508005,0.008421658,4.984973669052124
"Iron, sulfur, hydrogen oxidizer",same,5,linear,False,0,315,78,0.033866752,0.015934099,0.8589150905609131
Nitrogen Fixer,same,5,tree,False,0,5117,1279,0.0345937015948565,0.0211821110351499,44.23559784889221
Heterotroph,same,5,tree,False,0,141668,35417,0.0333253942109706,0.0179556907368708,3489.575069189072
Heterotroph,same,5,tree,True,1,11741,35417,0.0331654378816482,0.0171014539282685,232.72974920272827
Heterotroph,same,5,tree,True,2,11741,35417,0.0332051214845066,0.0170418047163634,227.7612018585205
Heterotroph,same,5,tree,True,3,11741,35417,0.0331863795572851,0.0170123613638776,241.93429255485532
"Iron, sulfur, hydrogen oxidizer",same,5,tree,False,0,315,78,0.0338086345443986,0.0157650199280599,1.052091360092163
Methanotroph,same,5,tree,False,0,488,122,0.0275388228295303,0.0176467695402024,1.701215744018555
Methanogen or Acetogen,same,5,tree,False,0,24,6,0.0209115457773582,0.0235101328335555,0.1609473228454589
Archaeal nitrifier,same,5,tree,False,0,1111,277,0.0155143113419843,0.0086140025540675,1.7578458786010742
Bacterial nitrifier,same,5,tree,False,0,2340,584,0.0335691853837805,0.0107931439502032,11.627675771713257
