subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
eag,other,1,featureless,False,0,178065,2153,0.027528448030352592,0.021112363785505295
eag,other,1,linear,False,0,178065,2153,0.03890150983347368,0.021376138940800204
eag,all,1,featureless,False,0,186673,2153,0.02727297693490982,0.020667729899287224
eag,all,1,linear,False,0,186673,2153,0.02675428055967759,0.01894141807614247
eag,same,2,featureless,False,0,8609,2152,0.023480141535401344,0.01170446164906025
eag,same,2,linear,False,0,8609,2152,0.019709141837169257,0.009017935838870205
eag,other,2,featureless,False,0,178065,2152,0.02668454684317112,0.021040786057710648
eag,other,2,linear,False,0,178065,2152,0.043085470946929105,0.02071398259226584
eag,all,2,featureless,False,0,186674,2152,0.026415741071105003,0.02051587402820587
eag,all,2,linear,False,0,186674,2152,0.026261575209360788,0.01865971836116312
eag,same,3,featureless,False,0,8609,2152,0.023870639503002167,0.01131969504058361
eag,same,3,linear,False,0,8609,2152,0.020036988846620606,0.009097129618227603
eag,other,3,featureless,False,0,178065,2152,0.026829203590750694,0.020288553088903427
eag,other,3,linear,False,0,178065,2152,0.03796698346217571,0.020668195843767084
eag,all,3,featureless,False,0,186674,2152,0.026568971574306488,0.019818274304270744
eag,all,3,linear,False,0,186674,2152,0.026054680398208293,0.018292050319414555
eag,same,4,featureless,False,0,8609,2152,0.02368665114045143,0.011586365289986134
eag,same,4,linear,False,0,8609,2152,0.02002001306472924,0.00890924831133102
eag,other,4,featureless,False,0,178065,2152,0.02693118155002594,0.020901784300804138
eag,other,4,linear,False,0,178065,2152,0.032717294145252665,0.020989793880932334
eag,all,4,featureless,False,0,186674,2152,0.026662573218345642,0.02045275643467903
eag,all,4,linear,False,0,186674,2152,0.039265354096567874,0.018793634348608507
eag,same,5,featureless,False,0,8609,2152,0.024705324321985245,0.012024963274598122
eag,same,5,linear,False,0,8609,2152,0.020089170931977304,0.00899000559397451
eag,other,5,featureless,False,0,178065,2152,0.02769128791987896,0.021374749019742012
eag,other,5,linear,False,0,178065,2152,0.04373492119982105,0.020661845812617402
eag,all,5,featureless,False,0,186674,2152,0.027435095980763435,0.020822566002607346
eag,all,5,linear,False,0,186674,2152,0.05041133284352527,0.01863208856063063
qme,same,1,featureless,False,0,39629,9908,0.04499706253409386,0.02611711621284485
qme,same,1,linear,False,0,39629,9908,0.06731260864886404,0.023326291928607357
qme,other,1,featureless,False,0,139289,9908,0.05672004073858261,0.023365983739495277
qme,other,1,linear,False,0,139289,9908,0.17065679717991733,0.02740574234683718
qme,all,1,featureless,False,0,178918,9908,0.05243200436234474,0.020336875692009926
qme,all,1,linear,False,0,178918,9908,0.05153088589920664,0.02059093036536909
qme,same,2,featureless,False,0,39629,9908,0.04459509626030922,0.025886675342917442
qme,same,2,linear,False,0,39629,9908,0.04211618969773568,0.023475216568607855
qme,other,2,featureless,False,0,139289,9908,0.056564729660749435,0.023607298731803894
qme,other,2,linear,False,0,139289,9908,0.19924235556455555,0.027666623536972412
qme,all,2,featureless,False,0,178918,9908,0.0522325299680233,0.020600484684109688
qme,all,2,linear,False,0,178918,9908,0.049138826656524644,0.02060560352971061
qme,same,3,featureless,False,0,39630,9907,0.04433412849903107,0.025749478489160538
qme,same,3,linear,False,0,39630,9907,0.04175337922416155,0.023282255713989237
qme,other,3,featureless,False,0,139289,9907,0.05628180876374245,0.023642107844352722
qme,other,3,linear,False,0,139289,9907,0.20115813000846725,0.027608562673468895
qme,all,3,featureless,False,0,178919,9907,0.05194089934229851,0.020258162170648575
qme,all,3,linear,False,0,178919,9907,0.19455333645550243,0.020303026366187638
qme,same,4,featureless,False,0,39630,9907,0.04435678943991661,0.026665370911359787
qme,same,4,linear,False,0,39630,9907,0.04203328484183608,0.02369360379652586
qme,other,4,featureless,False,0,139289,9907,0.05586028844118118,0.023153947666287422
