subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
Bacteria,same,1,featureless,False,0,149824,37457,0.03382782,0.019504547,5.952948570251465
Bacteria,same,1,featureless,True,1,1545,37457,0.033833314,0.019016385,1.899324893951416
Bacteria,same,1,featureless,True,2,1545,37457,0.03393914,0.021219978,1.9008924961090088
Bacteria,same,1,featureless,True,3,1545,37457,0.03382829,0.019284185,2.2908806800842285
Unassigned,same,1,featureless,False,0,28,7,0.109184906,0.027769264,0.0028283596038818
Archaea,same,1,featureless,False,0,1208,302,0.018757204,0.009388743,0.0766055583953857
Archaea,same,1,linear,False,0,1208,302,0.018016765,0.008510715,13.147294044494627
Unassigned,same,1,linear,False,0,28,7,0.109184906,0.027769264,0.0895888805389404
Unassigned,same,1,tree,False,0,28,7,0.1091849064985632,0.0277692656049371,0.0721967220306396
Archaea,same,1,tree,False,0,1208,302,0.017984480594473,0.0085835073346675,3.552778959274292
Bacteria,same,1,tree,False,0,149824,37457,0.0331459521845728,0.0179575767672138,2678.250142335892
Bacteria,same,1,tree,True,1,1545,37457,0.0336239274461373,0.0175943365864404,26.052039623260494
Bacteria,same,1,tree,True,2,1545,37457,0.0346229867009102,0.0192346887201777,25.83252716064453
Bacteria,same,1,tree,True,3,1545,37457,0.0336716558484488,0.0181228661134806,25.928154468536377
Archaea,same,2,featureless,False,0,1208,302,0.021837315,0.0092795715,0.1189966201782226
Bacteria,same,2,featureless,False,0,149825,37456,0.034384295,0.01949989,5.889008760452271
Bacteria,same,2,featureless,True,1,1545,37456,0.03438491,0.01920828,1.826589822769165
Bacteria,same,2,featureless,True,2,1545,37456,0.034404967,0.020164926,1.826763391494751
Bacteria,same,2,featureless,True,3,1545,37456,0.03438717,0.019700529,1.8270792961120603
Unassigned,same,2,featureless,False,0,28,7,0.04896033,0.04684673,0.0037519931793212
Unassigned,same,2,linear,False,0,28,7,0.04896033,0.04684673,0.0803132057189941
Bacteria,same,2,linear,False,0,149825,37456,0.031962287,0.016100502,19463.187871694565
Bacteria,same,2,linear,True,1,1545,37456,0.033420585,0.016937865,10.648493766784668
Bacteria,same,2,linear,True,2,1545,37456,0.033856537,0.017273705,9.486910343170166
Bacteria,same,2,linear,True,3,1545,37456,0.033898816,0.01722764,9.501583814620972
Archaea,same,2,linear,False,0,1208,302,0.021770878,0.009152711,4.151138544082642
Bacteria,same,2,tree,False,0,149825,37456,0.0330717846656584,0.0174574502443055,2008.437757730484
Bacteria,same,2,tree,True,1,1545,37456,0.0350765804379637,0.0171922260568209,22.655004501342773
Bacteria,same,2,tree,True,2,1545,37456,0.0341399337245612,0.0186492977663874,22.22868704795837
Bacteria,same,2,tree,True,3,1545,37456,0.0352631730698571,0.0178915252182319,23.92067241668701
Archaea,same,2,tree,False,0,1208,302,0.021703627413098,0.0091665891540671,4.316734075546265
Unassigned,same,2,tree,False,0,28,7,0.0489603300435992,0.0468467274996718,0.0979397296905517
Unassigned,same,3,featureless,False,0,28,7,0.053192932,0.042297482,0.003669261932373
Bacteria,same,3,featureless,False,0,149825,37456,0.033951107,0.019582938,5.874075889587402
Bacteria,same,3,featureless,True,1,1545,37456,0.033951186,0.019374011,1.8011159896850586
Bacteria,same,3,featureless,True,2,1545,37456,0.03395102,0.019565452,1.8003480434417725
Bacteria,same,3,featureless,True,3,1545,37456,0.033955492,0.019855099,1.8000924587249756
Archaea,same,3,featureless,False,0,1208,302,0.018036667,0.011076417,0.1317312717437744
