subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
"methanotrophs (also methylotrophs, so not all obligate autotrophs)",same,1,tree,False,0,62,16,0.0284126029252963,0.0261405436322093,0.1075074672698974
hydrogen and sulfur oxidizers,same,1,tree,False,0,16,4,0.0222103119974588,0.0220580696024828,0.0940206050872802
iron oxidizer,same,1,tree,False,0,72,18,0.0270968595554182,0.0267626177519559,0.2026798725128173
probably not methanotrophs,same,1,tree,False,0,511,128,0.0233540349027529,0.0118704387302851,1.1462302207946775
"iron oxidizer, sulfur oxidizer",same,1,tree,False,0,202,51,0.0222204760800318,0.0182846045700918,0.3331372737884521
acetogen,same,1,tree,False,0,17,5,0.021141611764197,0.0229497701402578,0.0707874298095703
methanogen,same,1,tree,False,0,6,2,0.0140112139675445,0.0138340108096599,0.0633721351623535
likely sulfur reducer!!!!!!,same,1,tree,False,0,15,4,0.0314432957318982,0.0165392555296421,0.1228682994842529
heterotroph,same,1,tree,False,0,36,9,0.0526742812800788,0.0354757495426937,0.22896409034729
heterotrophs,same,1,tree,False,0,36,10,0.0291958834228158,0.0178380923332749,0.1042110919952392
methanotrophs,same,1,tree,False,0,10,3,0.0231406998711004,0.0270928206543127,0.1068408489227294
Heterotroph,same,2,featureless,False,0,140836,35209,0.03435615,0.019299716,4.8136138916015625
Heterotroph,same,2,featureless,True,1,12781,35209,0.034356628,0.019244578,2.087874174118042
Heterotroph,same,2,featureless,True,2,12781,35209,0.034355752,0.019403929,2.224374294281006
Heterotroph,same,2,featureless,True,3,12781,35209,0.034357086,0.019204307,2.108417272567749
likely sulfur reducer!!!!!!,same,2,featureless,False,0,15,4,0.032115184,0.02967146,0.0016250610351562
methanogen,same,2,featureless,False,0,6,2,0.02610524,0.019513149,0.0010654926300048
heterotrophs,same,2,featureless,False,0,37,9,0.034248147,0.017012043,0.0033934116363525
acetogen,same,2,featureless,False,0,17,5,0.087890886,0.03450243,0.0015914440155029
heterotroph,same,2,featureless,False,0,36,9,0.035621163,0.03802608,0.0045151710510253
clostridium,same,2,featureless,False,0,180,45,0.037327334,0.02433019,0.059995412826538
"iron oxidizer, sulfur oxidizer",same,2,featureless,False,0,202,51,0.022373779,0.01643553,0.0268490314483642
"nitrite oxidizer, hydrogen oxidizer",same,2,featureless,False,0,308,77,0.019450735,0.014768577,0.0553574562072753
"methanotrophs (also methylotrophs, so not all obligate autotrophs)",same,2,featureless,False,0,62,16,0.018749448,0.010795513,0.0083224773406982
"hydrogen producer, fermenter heterotroph",same,2,featureless,False,0,3,1,0.0015806769,0.0015806769,0.0011975765228271
probably not methanotrophs,same,2,featureless,False,0,511,128,0.021931065,0.014389912,0.1187124252319336
ammonia oxidizers,same,2,featureless,False,0,3129,783,0.026466576,0.013919195,0.4985139369964599
hydrogen or sulfur oxizier,same,2,featureless,False,0,6,2,0.0036399043,0.003546453,0.0015666484832763
