subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
Autotroph,same,1,featureless,False,0,4276,1069,0.029720588,0.015347877,0.4602406024932861
Heterotroph,same,1,featureless,False,0,146784,36697,0.03425356,0.019627292,5.84172797203064
Heterotroph,same,1,featureless,True,1,5345,36697,0.034252048,0.019776294,2.1736011505126958
Heterotroph,same,1,featureless,True,2,5345,36697,0.034254063,0.01959769,2.178250312805176
Heterotroph,same,1,featureless,True,3,5345,36697,0.03425242,0.019989118,2.176884889602661
Heterotroph,same,1,linear,False,0,146784,36697,0.031884383,0.016342402,24953.82660317421
Heterotroph,same,1,linear,True,1,5345,36697,0.033125963,0.017184768,105.00252914428712
Heterotroph,same,1,linear,True,2,5345,36697,0.033020303,0.01697419,105.10485434532166
Heterotroph,same,1,linear,True,3,5345,36697,0.032922108,0.017299976,105.36079716682434
Autotroph,same,1,linear,False,0,4276,1069,0.026284847,0.011450937,40.57975172996521
Autotroph,same,1,tree,False,0,4276,1069,0.0263418904102534,0.0112345158982023,23.03444266319275
Heterotroph,same,1,tree,False,0,146784,36697,0.0334711145892292,0.0182131551079406,2604.4374091625214
Heterotroph,same,1,tree,True,1,5345,36697,0.0339007961713096,0.0185777485175331,95.73176336288452
Heterotroph,same,1,tree,True,2,5345,36697,0.0333636412384915,0.0177005386653106,85.4702799320221
Heterotroph,same,1,tree,True,3,5345,36697,0.0337510689408728,0.0187599103796197,86.96887397766113
Autotroph,same,2,featureless,False,0,4276,1069,0.02672474,0.015665868,0.2577564716339111
Heterotroph,same,2,featureless,False,0,146785,36696,0.034276757,0.019563193,19.174784421920776
Heterotroph,same,2,featureless,True,1,5345,36696,0.03427652,0.019536402,6.194041728973389
Heterotroph,same,2,featureless,True,2,5345,36696,0.034275986,0.019394659,6.127534627914429
Heterotroph,same,2,featureless,True,3,5345,36696,0.03427611,0.019337334,6.1852428913116455
Autotroph,same,2,linear,False,0,4276,1069,0.023908379,0.010603568,40.45888447761536
Heterotroph,same,2,linear,False,0,146785,36696,0.032080125,0.016305255,21560.166553735733
Heterotroph,same,2,linear,True,1,5345,36696,0.0332305,0.016735608,65.84846425056458
Heterotroph,same,2,linear,True,2,5345,36696,0.03328488,0.016761541,64.84075045585632
Heterotroph,same,2,linear,True,3,5345,36696,0.03341527,0.016567752,64.8494644165039
Heterotroph,same,2,tree,False,0,146785,36696,0.0334890138482557,0.0182011445641668,1960.6083998680117
Heterotroph,same,2,tree,True,1,5345,36696,0.0337813277624671,0.0180973414012252,72.65871119499207
Heterotroph,same,2,tree,True,2,5345,36696,0.0337699996713888,0.0178382727317512,85.75819945335388
Heterotroph,same,2,tree,True,3,5345,36696,0.0337017212681524,0.0177819142869617,71.25428438186646
Autotroph,same,2,tree,False,0,4276,1069,0.0239535028354493,0.0103888424468765,25.955769777297974
Autotroph,same,3,featureless,False,0,4276,1069,0.02791705,0.016261384,0.2546839714050293
Heterotroph,same,3,featureless,False,0,146785,36696,0.034036852,0.019415017,5.827789783477783
Heterotroph,same,3,featureless,True,1,5345,36696,0.034045193,0.019915748,2.186237335205078
Heterotroph,same,3,featureless,True,2,5345,36696,0.03403721,0.019507043,2.1847074031829834
Heterotroph,same,3,featureless,True,3,5345,36696,0.03403697,0.019470546,2.1834306716918945
Autotroph,same,3,linear,False,0,4276,1069,0.025026342,0.011911606,38.926233768463135
Heterotroph,same,3,linear,False,0,146785,36696,0.031873208,0.01611566,21756.95338320732
Heterotroph,same,3,linear,True,1,5345,36696,0.03304134,0.016905503,66.32291030883789
Heterotroph,same,3,linear,True,2,5345,36696,0.033121027,0.01677466,65.28516364097595
Heterotroph,same,3,linear,True,3,5345,36696,0.033099517,0.01664915,65.30196619033813
Heterotroph,same,3,tree,False,0,146785,36696,0.0333282497238562,0.017817470537064,1974.5300166606903
Heterotroph,same,3,tree,True,1,5345,36696,0.0335288772838964,0.0181322529755711,75.04469656944275
Heterotroph,same,3,tree,True,2,5345,36696,0.0336924342933823,0.0180310634102745,75.65479373931885
Heterotroph,same,3,tree,True,3,5345,36696,0.0334826343571322,0.0178703019304777,75.86140155792236
Autotroph,same,3,tree,False,0,4276,1069,0.0249472877648574,0.0115931509718277,33.12513780593872
Autotroph,same,4,featureless,False,0,4276,1069,0.032351974,0.016212866,0.2404699325561523
Heterotroph,same,4,featureless,False,0,146785,36696,0.03429555,0.019461581,4.507972478866577
Heterotroph,same,4,featureless,True,1,5345,36696,0.034296036,0.019387657,1.5244784355163574
Heterotroph,same,4,featureless,True,2,5345,36696,0.034296058,0.019384552,1.522890567779541
Heterotroph,same,4,featureless,True,3,5345,36696,0.03429548,0.019554995,1.5222389698028564
Autotroph,same,4,linear,False,0,4276,1069,0.02827244,0.010549828,66.40490913391113
Heterotroph,same,4,linear,False,0,146785,36696,0.03211411,0.016312115,23658.672819375992
Heterotroph,same,4,linear,True,1,5345,36696,0.03319403,0.01676241,144.208961725235
Heterotroph,same,4,linear,True,2,5345,36696,0.03339918,0.016843408,105.42765355110168
Heterotroph,same,4,linear,True,3,5345,36696,0.033233464,0.016802404,105.18222308158876
Autotroph,same,4,tree,False,0,4276,1069,0.0283388503736416,0.0109292964331301,30.82958221435547
Heterotroph,same,4,tree,False,0,146785,36696,0.0335334892767528,0.0181784862652421,2495.7247331142426
Heterotroph,same,4,tree,True,1,5345,36696,0.0338749286283751,0.0182267069324886,96.07886171340942
Heterotroph,same,4,tree,True,2,5345,36696,0.0337880508972129,0.0181643763906554,91.16179490089417
Heterotroph,same,4,tree,True,3,5345,36696,0.0337537113226067,0.0175561391276428,90.98346757888794
Heterotroph,same,5,featureless,False,0,146785,36696,0.03415783,0.019712435,7.77261757850647
Heterotroph,same,5,featureless,True,1,5345,36696,0.034157295,0.019602032,2.705578565597534
Heterotroph,same,5,featureless,True,2,5345,36696,0.03415835,0.019761553,2.649354219436645
Heterotroph,same,5,featureless,True,3,5345,36696,0.034159057,0.019338496,2.695904493331909
Autotroph,same,5,featureless,False,0,4276,1069,0.030282719,0.01616428,0.4417293071746826
Heterotroph,same,5,linear,False,0,146785,36696,0.031928502,0.016263794,21502.06237769127
Heterotroph,same,5,linear,True,1,5345,36696,0.032873694,0.016567148,66.09571051597595
Heterotroph,same,5,linear,True,2,5345,36696,0.03323716,0.016932895,64.92550373077393
Heterotroph,same,5,linear,True,3,5345,36696,0.03295944,0.016394863,64.9946060180664
Autotroph,same,5,linear,False,0,4276,1069,0.026697792,0.01163982,40.59531474113464
Heterotroph,same,5,tree,False,0,146785,36696,0.03335513530454,0.0182673538930477,1981.1359734535215
Heterotroph,same,5,tree,True,1,5345,36696,0.0334503225200033,0.0169935787910231,75.6070351600647
Heterotroph,same,5,tree,True,2,5345,36696,0.0336076120974596,0.0184551236147017,73.98011803627014
Heterotroph,same,5,tree,True,3,5345,36696,0.0335613438834939,0.0179955211069599,71.88434195518494
Autotroph,same,5,tree,False,0,4276,1069,0.026729526929896,0.0113438970330645,26.30581498146057
Autotroph,other,1,featureless,False,0,183481,1069,0.030203668,0.019628458,5.173161745071411
Autotroph,other,1,featureless,True,1,4276,1069,0.030041391,0.01897015,0.527719259262085
Autotroph,other,1,featureless,True,2,4276,1069,0.030450132,0.02050453,0.5272493362426758
Autotroph,other,1,featureless,True,3,4276,1069,0.030174037,0.019587625,0.5276076793670654
Heterotroph,other,1,featureless,False,0,5345,36697,0.034751426,0.016244981,2.118521451950073
Heterotroph,other,1,linear,False,0,5345,36697,0.034914475,0.020167794,99.26310348510742
Heterotroph,other,1,tree,False,0,5345,36697,0.0391834502147805,0.0212153016403317,40.606088161468506
Autotroph,other,1,tree,False,0,183481,1069,0.0304440385232184,0.0172140482641375,3394.5291373729706
Autotroph,other,1,tree,True,1,4276,1069,0.0316547879352204,0.0216872482560141,59.47762656211853
Autotroph,other,1,tree,True,2,4276,1069,0.0303259891849879,0.0206361863181279,61.53875589370728
Autotroph,other,1,tree,True,3,4276,1069,0.0303370301223437,0.0199510841838725,55.8994026184082
Heterotroph,other,2,featureless,False,0,5345,36696,0.03470032,0.016146798,1.5103087425231934
Autotroph,other,2,featureless,False,0,183481,1069,0.027413288,0.019588832,5.0929856300354
Autotroph,other,2,featureless,True,1,4276,1069,0.027206557,0.018880265,0.5196881294250488
Autotroph,other,2,featureless,True,2,4276,1069,0.027718611,0.020380769,0.5304863452911377
Autotroph,other,2,featureless,True,3,4276,1069,0.02737597,0.019425787,0.5168910026550293
Heterotroph,other,2,linear,False,0,5345,36696,0.03498327,0.02018097,64.90992021560669
Autotroph,other,2,linear,False,0,183481,1069,0.031183347,0.017783232,26663.50104212761
Autotroph,other,2,linear,True,1,4276,1069,0.026895557,0.017327705,39.66239976882935
Autotroph,other,2,linear,True,2,4276,1069,0.027284898,0.018327609,38.70155882835388
Autotroph,other,2,linear,True,3,4276,1069,0.02775519,0.01513914,38.60960936546326
Heterotroph,other,2,tree,False,0,5345,36696,0.0390894060134952,0.0152330085392966,34.58715462684631
Autotroph,other,2,tree,False,0,183481,1069,0.0273207845171836,0.0164896756582343,2586.2619981765747
Autotroph,other,2,tree,True,1,4276,1069,0.0295108097871706,0.0215853261760933,55.84680151939392
Autotroph,other,2,tree,True,2,4276,1069,0.0277550383888891,0.0194956318825767,60.175374269485474
Autotroph,other,2,tree,True,3,4276,1069,0.0280005076669329,0.0192961703709199,57.147817611694336
Heterotroph,other,3,featureless,False,0,5345,36696,0.03449293,0.016002718,1.5123050212860107
Autotroph,other,3,featureless,False,0,183481,1069,0.028579608,0.020326743,3.782681703567505
Autotroph,other,3,featureless,True,1,4276,1069,0.028380854,0.019683782,0.2789084911346435
Autotroph,other,3,featureless,True,2,4276,1069,0.028873237,0.021142922,0.2775521278381347
Autotroph,other,3,featureless,True,3,4276,1069,0.02854373,0.020201605,0.2772560119628906
Heterotroph,other,3,linear,False,0,5345,36696,0.034869198,0.0198898,108.84378051757812
Heterotroph,other,3,tree,False,0,5345,36696,0.0383710152215694,0.0175526257233574,44.74556922912598
Autotroph,other,3,tree,False,0,183481,1069,0.0285609565693888,0.0173892756752288,3272.5952327251434
Autotroph,other,3,tree,True,1,4276,1069,0.0313685035363649,0.0242437709875598,68.34144449234009
Autotroph,other,3,tree,True,2,4276,1069,0.0290405308352427,0.0210509675905392,73.48895239830017
Autotroph,other,3,tree,True,3,4276,1069,0.0288345185531832,0.0206628486790821,68.88272738456726
Autotroph,other,4,featureless,False,0,183481,1069,0.03285491,0.020358857,7.71531081199646
Autotroph,other,4,featureless,True,1,4276,1069,0.032695312,0.019646998,0.8479011058807373
Autotroph,other,4,featureless,True,2,4276,1069,0.03309451,0.021359377,0.7642760276794434
Autotroph,other,4,featureless,True,3,4276,1069,0.032825913,0.020217344,0.749443769454956
Heterotroph,other,4,featureless,False,0,5345,36696,0.034759555,0.016064819,2.6698944568634038
Heterotroph,other,4,linear,False,0,5345,36696,0.03499157,0.019942475,64.95229005813599
Heterotroph,other,4,tree,False,0,5345,36696,0.0388181903106018,0.017616681715184,38.76807880401611
Autotroph,other,4,tree,False,0,183481,1069,0.0330251743351508,0.0176294095985972,3483.905150651932
Autotroph,other,4,tree,True,1,4276,1069,0.0339061586078593,0.0227721412665708,70.4495780467987
Autotroph,other,4,tree,True,2,4276,1069,0.0322204945146265,0.0211546736758748,65.45588684082031
Autotroph,other,4,tree,True,3,4276,1069,0.032712091505801,0.0214527975976177,68.65890502929688
Heterotroph,other,5,featureless,False,0,5345,36696,0.034587745,0.01617974,1.7851908206939695
Autotroph,other,5,featureless,False,0,183481,1069,0.03059575,0.02051435,4.100675821304321
Autotroph,other,5,featureless,True,1,4276,1069,0.03046289,0.019622028,0.3282229900360107
Autotroph,other,5,featureless,True,2,4276,1069,0.030805508,0.021411777,0.3172004222869873
Autotroph,other,5,featureless,True,3,4276,1069,0.030571088,0.020440498,0.2724316120147705
Heterotroph,other,5,linear,False,0,5345,36696,0.034843158,0.019993426,101.00146222114564
Heterotroph,other,5,tree,False,0,5345,36696,0.040085028450039,0.021481114804311,37.94683218002319
Autotroph,other,5,tree,False,0,183481,1069,0.0306574993879932,0.0173691842533266,3394.6345307827
Autotroph,other,5,tree,True,1,4276,1069,0.0601540056636856,0.0283772099010452,59.94876170158386
Autotroph,other,5,tree,True,2,4276,1069,0.0302536684760831,0.0207139140915671,60.994104862213135
Autotroph,other,5,tree,True,3,4276,1069,0.0305635551959481,0.0208047465629585,55.73776531219482
Autotroph,all,1,featureless,False,0,187757,1069,0.030180998,0.019600574,4.050749778747559
Autotroph,all,1,featureless,True,1,4276,1069,0.030203244,0.019630838,0.2815654277801513
Autotroph,all,1,featureless,True,1,183481,1069,0.030180693,0.019602336,10.033443212509155
Autotroph,all,1,featureless,True,2,4276,1069,0.030294998,0.019898865,0.2929930686950683
Autotroph,all,1,featureless,True,2,183481,1069,0.030183608,0.01959033,10.035218477249146
Autotroph,all,1,featureless,True,3,4276,1069,0.030231053,0.019599166,0.2801234722137451
Autotroph,all,1,featureless,True,3,183481,1069,0.030179724,0.019607898,10.048530101776125
Heterotroph,all,1,featureless,False,0,152129,36697,0.03425607,0.019512877,4.793823957443237
Heterotroph,all,1,featureless,True,1,146784,36697,0.034256052,0.01951209,8.819258689880371
Heterotroph,all,1,featureless,True,1,5345,36697,0.034252174,0.019750103,1.5314650535583496
Heterotroph,all,1,featureless,True,2,146784,36697,0.03425619,0.01950695,8.854344129562378
Heterotroph,all,1,featureless,True,2,5345,36697,0.0342519,0.019813543,1.535585880279541
Heterotroph,all,1,featureless,True,3,146784,36697,0.03425595,0.019517645,8.81309700012207
Heterotroph,all,1,featureless,True,3,5345,36697,0.03425271,0.019691888,1.5294792652130127
Heterotroph,all,1,tree,False,0,152129,36697,0.0334716201005421,0.0181917140429141,2849.7725217342377
Heterotroph,all,1,tree,True,1,146784,36697,0.0318967844652453,0.016222277045883,2818.8245692253117
Heterotroph,all,1,tree,True,1,5345,36697,0.0336968182593854,0.0185066415462074,92.56479382514954
Heterotroph,all,1,tree,True,2,146784,36697,0.0318646050926907,0.0161813402697985,2801.989274263382
Heterotroph,all,1,tree,True,2,5345,36697,0.0339844218118627,0.0178148686533356,99.47603845596312
Heterotroph,all,1,tree,True,3,146784,36697,0.0319149487067418,0.0161511617670078,2794.519326686859
Heterotroph,all,1,tree,True,3,5345,36697,0.0335584770699792,0.0182545410235628,93.5907015800476
Autotroph,all,1,tree,False,0,187757,1069,0.0304314013973601,0.0171953932966418,3505.1739571094517
Autotroph,all,1,tree,True,1,4276,1069,0.0303190904819059,0.0196168740566188,55.499587297439575
Autotroph,all,1,tree,True,1,183481,1069,0.0269311913088592,0.0126028119323298,3602.394677400589
Autotroph,all,1,tree,True,2,4276,1069,0.0308847977009084,0.0174860488799628,55.3545298576355
Autotroph,all,1,tree,True,2,183481,1069,0.0269019795557319,0.0126198798378081,3686.9295268058777
Autotroph,all,1,tree,True,3,4276,1069,0.0302089039584766,0.0175481034151694,63.10136795043945
Autotroph,all,1,tree,True,3,183481,1069,0.0268408552857058,0.0125460008091134,3716.482852697373
Heterotroph,all,2,featureless,False,0,152130,36696,0.034275994,0.01943101,4.825047969818115
Heterotroph,all,2,featureless,True,1,146784,36696,0.03427599,0.019424908,8.889456510543823
