subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
Frankia nitrogen fixer,same,1,featureless,False,0,3922,981,0.033764355,0.021787064,0.4075698852539062
Heterotroph,same,1,featureless,False,0,141668,35417,0.03456667,0.019396842,5.685848951339722
Heterotroph,same,1,featureless,True,1,11741,35417,0.034566738,0.01934422,2.7748796939849854
Heterotroph,same,1,featureless,True,2,11741,35417,0.034571562,0.01978878,2.775554895401001
Heterotroph,same,1,featureless,True,3,11741,35417,0.034566667,0.01939695,2.77451753616333
hydrogen or sulfur oxizier,same,1,featureless,False,0,6,2,0.0073571024,0.007346955,0.0011923313140869
Methanotroph,same,1,featureless,False,0,488,122,0.03333195,0.022955524,0.0564327239990234
Rhizobium nitrogen fixer,same,1,featureless,False,0,1194,299,0.039152507,0.022268422,0.1383943557739257
Acetogen,same,1,featureless,False,0,17,5,0.025392622,0.027299155,0.0025026798248291
iron oxidizer,same,1,featureless,False,0,72,18,0.028044395,0.020733822,0.0099823474884033
Bacterial ammonia oxidizer,same,1,featureless,False,0,2019,505,0.033617236,0.017445203,0.2303154468536377
Methanogen,same,1,featureless,False,0,6,2,0.013873488,0.013834011,0.0011816024780273
Bacterial nitrite oxidizer,same,1,featureless,False,0,320,80,0.0374851,0.014257541,0.042421817779541
"Iron, sulfur, hydrogen oxidizer",same,1,featureless,False,0,16,4,0.023847759,0.016121551,0.0023195743560791
Archaeal ammonia oxidizer,same,1,featureless,False,0,1110,278,0.022593902,0.009951854,0.1223924160003662
sulfur oxidizer,same,1,featureless,False,0,17,5,0.021845179,0.021402076,0.0262162685394287
"iron oxidizer, sulfur oxidizer",same,1,featureless,False,0,202,51,0.023966381,0.02062006,0.0258622169494628
Heterotroph,same,1,linear,False,0,141668,35417,0.032281727,0.016130604,22952.66403913498
Heterotroph,same,1,linear,True,1,11741,35417,0.033064198,0.01609935,1380.599368095398
Heterotroph,same,1,linear,True,2,11741,35417,0.03314456,0.016616512,1387.7555923461914
Heterotroph,same,1,linear,True,3,11741,35417,0.03289677,0.016339615,1582.671187877655
hydrogen or sulfur oxizier,same,1,linear,False,0,6,2,0.0073571024,0.007346955,0.0807223320007324
Methanotroph,same,1,linear,False,0,488,122,0.029447414,0.01832752,1.2501304149627686
Frankia nitrogen fixer,same,1,linear,False,0,3922,981,0.03235471,0.018938025,52.53187537193298
sulfur oxidizer,same,1,linear,False,0,17,5,0.01755276,0.01656411,0.0951571464538574
Rhizobium nitrogen fixer,same,1,linear,False,0,1194,299,0.036788493,0.01879166,4.299631118774414
Archaeal ammonia oxidizer,same,1,linear,False,0,1110,278,0.022065334,0.009296344,3.620447158813477
Bacterial nitrite oxidizer,same,1,linear,False,0,320,80,0.03711876,0.014609953,0.6872408390045166
Bacterial ammonia oxidizer,same,1,linear,False,0,2019,505,0.029518474,0.00997995,14.898711442947388
"Iron, sulfur, hydrogen oxidizer",same,1,linear,False,0,16,4,0.0209059,0.020116713,0.0934314727783203
iron oxidizer,same,1,linear,False,0,72,18,0.026077135,0.025323015,0.1688241958618164
"iron oxidizer, sulfur oxidizer",same,1,linear,False,0,202,51,0.02222,0.018287186,0.4225778579711914
Acetogen,same,1,linear,False,0,17,5,0.02114181,0.022949975,0.0995466709136962
Methanogen,same,1,linear,False,0,6,2,0.014011184,0.013834011,0.1554374694824218
Frankia nitrogen fixer,same,1,tree,False,0,3922,981,0.0323396111851379,0.0189389141421676,16.278988122940063
Methanotroph,same,1,tree,False,0,488,122,0.0300308998995316,0.0182108164454499,2.012736558914185
Heterotroph,same,1,tree,False,0,141668,35417,0.0332502718123609,0.0173726395408642,2429.026314973831
Heterotroph,same,1,tree,True,1,11741,35417,0.0336743036569599,0.0160994372064106,196.7689566612244
Heterotroph,same,1,tree,True,2,11741,35417,0.0335431867128097,0.0171355932301623,195.158385515213
Heterotroph,same,1,tree,True,3,11741,35417,0.0335508812170749,0.0174015440041287,189.19074821472168
Rhizobium nitrogen fixer,same,1,tree,False,0,1194,299,0.0374989635166574,0.0194379174847257,4.469295501708984
sulfur oxidizer,same,1,tree,False,0,17,5,0.0227253184496343,0.0026974993137021,0.0961637496948242
hydrogen or sulfur oxizier,same,1,tree,False,0,6,2,0.0073571018166505,0.0073469546623528,0.0782549381256103
Archaeal ammonia oxidizer,same,1,tree,False,0,1110,278,0.021981834761246,0.0092351091908906,2.627730131149292
