subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
PJ,same,2,featureless,False,0,11099,2775,0.025667809,0.010723334,0.439293622970581
glacier_forefield,same,2,featureless,False,0,1460,365,0.005457309,0.0038229031,0.1168594360351562
PP,same,2,featureless,False,0,11656,2914,0.028250225,0.01775782,0.5968916416168213
litchfield_island,same,2,featureless,False,0,1777,444,0.005494627,0.004172418,0.0871722698211669
AN,same,2,featureless,False,0,14923,3731,0.019867275,0.011028562,0.8607919216156006
GR,same,2,featureless,False,0,10061,2515,0.025853122,0.017698806,0.7017927169799805
Sedgwick,same,2,featureless,False,0,719,180,0.019226143,0.01216663,0.0688438415527343
SPRUCE,same,2,featureless,False,0,5322,1331,0.058390435,0.038371105,0.3153057098388672
Hopland,same,2,featureless,False,0,807,202,0.02191075,0.015728645,0.0460977554321289
Angelo,same,2,featureless,False,0,569,142,0.02082718,0.014463538,0.0300848484039306
BS,same,2,featureless,False,0,12285,3071,0.022389857,0.013417067,0.7378015518188477
AK,same,2,featureless,False,0,9449,2362,0.030081376,0.018576913,0.5663700103759766
PR,same,2,featureless,False,0,10926,2732,0.035652656,0.019339778,0.6537308692932129
glacier_forefield,same,2,linear,False,0,1460,365,0.0050494196,0.003020356,5.825818777084351
litchfield_island,same,2,linear,False,0,1777,444,0.004827875,0.0034185266,8.153946161270142
GL,same,2,linear,False,0,11189,2797,0.0185217,0.007577207,2746.275826692581
MC,same,2,linear,False,0,27241,6811,0.03828677,0.02101107,6675.649870634079
PJ,same,2,linear,False,0,11099,2775,0.020056188,0.0075363964,2340.890400886536
PP,same,2,linear,False,0,11656,2914,0.023321472,0.012466046,2500.682727575302
Detritus,same,2,linear,False,0,2773,694,0.0023096825,0.0012111245,25.60156893730164
Rhizo,same,2,linear,False,0,3075,769,0.003392637,0.0020736028,31.648024320602417
Rhizo.Detritus,same,2,linear,False,0,7119,1780,0.0035279866,0.001863229,177.89558458328247
Control,same,2,linear,False,0,2915,729,0.02131434,0.009330947,28.556748867034912
NoLitter,same,2,linear,False,0,2830,708,0.018975427,0.008096886,27.16153049468994
AK,same,2,linear,False,0,9449,2362,0.028417334,0.017731017,318.5766382217407
DBLitter,same,2,linear,False,0,2863,716,0.020309018,0.009644378,28.134093284606934
PR,same,2,linear,False,0,10926,2732,0.03169641,0.017151661,3615.9171636104575
SPRUCE,same,2,linear,False,0,5322,1331,0.054011773,0.033935964,96.98839449882507
BS,same,2,linear,False,0,12285,3071,0.019790215,0.010466516,1915.2913229465485
GR,same,2,linear,False,0,10061,2515,0.023272617,0.014021362,1697.9904651641846
AN,same,2,linear,False,0,14923,3731,0.017599754,0.008884851,2414.803979873657
Angelo,same,2,linear,False,0,569,142,0.018241173,0.012073692,1.683434009552002
Hopland,same,2,linear,False,0,807,202,0.015026573,0.010220911,2.424966812133789
Sedgwick,same,2,linear,False,0,719,180,0.014752857,0.008405214,2.432827949523926
Rhizo.Detritus,same,2,tree,False,0,7119,1780,0.0035431217937704,0.0019601651260789,113.13516426086426
Control,same,2,tree,False,0,2915,729,0.0211737151479438,0.0092170177090751,36.54955649375916
DBLitter,same,2,tree,False,0,2863,716,0.0201472932010518,0.0096640596475895,32.06458401679993
NoLitter,same,2,tree,False,0,2830,708,0.0196011652453679,0.0078920154800893,39.27932548522949
Rhizo,same,2,tree,False,0,3075,769,0.0035190561842126,0.0021119567202737,51.55893325805664
MC,same,2,tree,False,0,27241,6811,0.0383524695052506,0.0208710425533354,397.6808235645294
PJ,same,2,tree,False,0,11099,2775,0.020539031286213,0.007386576848937,206.5783393383026
PP,same,2,tree,False,0,11656,2914,0.0232382442741433,0.0121551774934107,186.50910830497745
litchfield_island,same,2,tree,False,0,1777,444,0.004758925218517,0.0031674442644388,15.324347496032717
GL,same,2,tree,False,0,11189,2797,0.0185019593853275,0.0074237693631966,244.40112709999084
glacier_forefield,same,2,tree,False,0,1460,365,0.0050544719977488,0.0029945085698273,17.651585578918457
Detritus,same,2,tree,False,0,2773,694,0.0023109157063266,0.0011677614940022,35.78446388244629
AN,same,2,tree,False,0,14923,3731,0.0175617593538808,0.0087380751977131,191.343047618866
BS,same,2,tree,False,0,12285,3071,0.0199071456601505,0.0105397586046066,153.0157961845398
GR,same,2,tree,False,0,10061,2515,0.0234881136061958,0.0141321586091759,122.51005434989928
Angelo,same,2,tree,False,0,569,142,0.0187292345578149,0.0130225369838021,5.646697998046875
SPRUCE,same,2,tree,False,0,5322,1331,0.0539910239962145,0.0336683235851378,68.23567938804626
PR,same,2,tree,False,0,10926,2732,0.0317944457684984,0.0173127138987183,229.76324200630188
AK,same,2,tree,False,0,9449,2362,0.0285834783261353,0.0178716375820289,141.7587296962738
Sedgwick,same,2,tree,False,0,719,180,0.0144431538425093,0.0080597256914748,7.251731872558594
Hopland,same,2,tree,False,0,807,202,0.0158834113618161,0.0094702297877158,8.840210437774658
SPRUCE,same,3,featureless,False,0,5322,1331,0.05768541,0.039158687,0.1661899089813232
AN,same,3,featureless,False,0,14923,3731,0.019168504,0.010950984,0.4888432025909424
BS,same,3,featureless,False,0,12285,3071,0.022755614,0.013678556,0.3992173671722412
PR,same,3,featureless,False,0,10926,2732,0.03419693,0.019550104,0.4265196323394775
DBLitter,same,3,featureless,False,0,2863,716,0.02448067,0.012207931,0.1138992309570312
Control,same,3,featureless,False,0,2915,729,0.02216355,0.0114161065,0.1194813251495361
NoLitter,same,3,featureless,False,0,2830,708,0.024342813,0.010512153,0.1124284267425537
Rhizo,same,3,featureless,False,0,3075,769,0.0036557144,0.0022757053,0.1494297981262207
PJ,same,3,featureless,False,0,11099,2775,0.024864797,0.010750711,0.5650067329406738
Angelo,same,3,featureless,False,0,569,142,0.021166496,0.016243383,0.0256352424621582
GR,same,3,featureless,False,0,10061,2515,0.027359186,0.017161923,0.4974737167358398
Hopland,same,3,featureless,False,0,807,202,0.022271791,0.01516379,0.0420095920562744
litchfield_island,same,3,featureless,False,0,1777,444,0.0057049682,0.004151373,0.1034777164459228
MC,same,3,featureless,False,0,27242,6810,0.041356638,0.026741559,1.6433475017547607
glacier_forefield,same,3,featureless,False,0,1460,365,0.005065613,0.0037580263,0.0851993560791015
PP,same,3,featureless,False,0,11656,2914,0.029450629,0.01806353,0.5760877132415771
Rhizo.Detritus,same,3,featureless,False,0,7119,1780,0.0035178636,0.0020093024,0.3588201999664306
AK,same,3,featureless,False,0,9449,2362,0.030294104,0.01822824,0.4822661876678467
GL,same,3,featureless,False,0,11189,2797,0.024434714,0.010441348,0.8162939548492432
Detritus,same,3,featureless,False,0,2774,693,0.0031181443,0.0021994715,0.1106431484222412
Sedgwick,same,3,featureless,False,0,719,180,0.01600928,0.010749605,0.041924238204956
glacier_forefield,same,3,linear,False,0,1460,365,0.004462645,0.0027758079,7.794696569442749
litchfield_island,same,3,linear,False,0,1777,444,0.00527187,0.0034580221,11.219160556793211
GL,same,3,linear,False,0,11189,2797,0.018453943,0.007355354,2361.6793982982635
MC,same,3,linear,False,0,27242,6810,0.037855823,0.020202048,6666.798553705215
PJ,same,3,linear,False,0,11099,2775,0.018486591,0.006964503,2421.3062994480133
PP,same,3,linear,False,0,11656,2914,0.024206458,0.011735236,2326.703197479248
Detritus,same,3,linear,False,0,2774,693,0.0022799394,0.0012860931,25.65843796730041
Rhizo,same,3,linear,False,0,3075,769,0.003562696,0.0019686515,31.8918776512146
Rhizo.Detritus,same,3,linear,False,0,7119,1780,0.0034534787,0.001847974,121.16151285171507
DBLitter,same,3,linear,False,0,2863,716,0.020942347,0.010341188,27.930773735046387
Control,same,3,linear,False,0,2915,729,0.02002482,0.00869006,28.56823992729187
AK,same,3,linear,False,0,9449,2362,0.028108839,0.016667897,318.7983078956604
NoLitter,same,3,linear,False,0,2830,708,0.020856138,0.0077493014,27.11266255378723
PR,same,3,linear,False,0,10926,2732,0.030008474,0.017782852,2662.22123336792
SPRUCE,same,3,linear,False,0,5322,1331,0.05254512,0.034375593,67.28493309020996
BS,same,3,linear,False,0,12285,3071,0.020243304,0.0104228025,1701.0290930271149
AN,same,3,linear,False,0,14923,3731,0.017252214,0.008746989,3106.1591670513158
Angelo,same,3,linear,False,0,569,142,0.017516436,0.011076818,1.4165043830871582
GR,same,3,linear,False,0,10061,2515,0.024417412,0.014151078,1165.7100222110748
Hopland,same,3,linear,False,0,807,202,0.016324373,0.010460704,2.293315887451172
Sedgwick,same,3,linear,False,0,719,180,0.011619209,0.0065777954,1.9303438663482664
glacier_forefield,same,3,tree,False,0,1460,365,0.004651213996715,0.0028986083343625,24.11642575263977
GL,same,3,tree,False,0,11189,2797,0.0188048907417504,0.0072076305474667,160.56054544448853
litchfield_island,same,3,tree,False,0,1777,444,0.005374159192611,0.0035772812939508,20.609755039215088
Rhizo.Detritus,same,3,tree,False,0,7119,1780,0.0034770745473733,0.0019456027094244,105.43583226203918
Rhizo,same,3,tree,False,0,3075,769,0.0035514900786214,0.0020132103339768,52.05911779403687
PP,same,3,tree,False,0,11656,2914,0.0239817258903623,0.0114793318096503,176.97691559791565
MC,same,3,tree,False,0,27242,6810,0.0378918092826299,0.0200320301415033,406.01763796806335
Detritus,same,3,tree,False,0,2774,693,0.0023154563535515,0.0013207083102315,40.75879216194153
PJ,same,3,tree,False,0,11099,2775,0.018696566512491,0.0066850825508193,258.3807592391968
Control,same,3,tree,False,0,2915,729,0.0203157607046804,0.0090149928101021,36.926623582839966
SPRUCE,same,3,tree,False,0,5322,1331,0.0527707810930793,0.034673352479528,67.82794404029846
AK,same,3,tree,False,0,9449,2362,0.0280910404182113,0.0165971566533701,128.82466197013855
DBLitter,same,3,tree,False,0,2863,716,0.0218560203596873,0.0100384259301343,34.73021674156189
PR,same,3,tree,False,0,10926,2732,0.0303174897110452,0.0176944034174084,222.2694811820984
NoLitter,same,3,tree,False,0,2830,708,0.0217031061665728,0.0086751709928111,43.15492987632752
Hopland,same,3,tree,False,0,807,202,0.0181444990015863,0.0100412484258413,8.234205484390259
Angelo,same,3,tree,False,0,569,142,0.0180565822291344,0.0121387211555742,5.360190629959106
AN,same,3,tree,False,0,14923,3731,0.017348324450418,0.0086603385182395,261.2371060848236
BS,same,3,tree,False,0,12285,3071,0.0201772212404406,0.0101568671280068,228.77533268928528
GR,same,3,tree,False,0,10061,2515,0.0244578829140509,0.0140121207417299,145.06829953193665
